Year                Month               DOM                 INTER               TOTAL               
2002                10                  835,052             156,563             991,615             
2002                11                  707,352             114,750             822,102             
2002                12                  726,799             111,051             837,850             
2002                TOTAL               9,104,897           1,663,841           10,768,738          
2003                1                   651,669             110,704             762,373             
2003                2                   615,892             96,295              712,187             
2003                3                   789,638             121,423             911,061             
2003                4                   778,241             117,201             895,442             
2003                5                   812,931             122,549             935,480             
2003                6                   853,196             157,549             1,010,745           
2003                7                   888,271             183,200             1,071,471           
2003                8                   897,278             186,976             1,084,254           
2003                9                   733,541             148,426             881,967             
2003                10                  868,701             149,109             1,017,810           
2003                11                  756,080             117,252             873,332             
2003                12                  707,632             114,992             822,624             
2003                TOTAL               9,353,070           1,625,676           10,978,746          
2004                1                   699,924             117,751             817,675             
2004                2                   764,999             109,748             874,747             
2004                3                   910,835             143,680             1,054,515           
2004                4                   959,752             149,957             1,109,709           
2004                5                   938,431             155,276             1,093,707           
2004                6                   1,001,959           174,488             1,176,447           
2004                7                   1,015,457           197,611             1,213,068           
2004                8                   1,035,173           200,417             1,235,590           
2004                9                   871,438             168,777             1,040,215           
2004                10                  983,568             166,007             1,149,575           
2004                11                  882,809             123,420             1,006,229           
2004                12                  799,898             116,049             915,947             
2004                TOTAL               10,864,243          1,823,181           12,687,424          
2005                1                   771,209             122,928             894,137             
2005                2                   763,898             108,171             872,069             
2005                3                   1,015,493           148,636             1,164,129           
2005                4                   1,010,314           154,662             1,164,976           
2005                5                   1,008,181           168,613             1,176,794           
2005                6                   1,019,920           186,491             1,206,411           
2005                7                   1,051,085           208,307             1,259,392           
2005                8                   1,019,004           199,371             1,218,375           
2005                9                   920,750             174,892             1,095,642           
2005                10                  937,329             165,401             1,102,730           
2005                11                  918,997             130,003             1,049,000           
2005                12                  819,877             119,361             939,238             
2005                TOTAL               11,256,057          1,886,836           13,142,893          
2006                1                   824,221             121,678             945,899             
2006                2                   804,441             107,699             912,140             
2006                3                   1,051,664           147,692             1,199,356           
2006                4                   1,058,981           161,050             1,220,031           
2006                5                   1,022,072           158,965             1,181,037           
2006                6                   1,042,811           174,914             1,217,725           
2006                7                   1,064,873           201,317             1,266,190           
2006                8                   1,039,140           191,780             1,230,920           
2006                9                   914,764             187,614             1,102,378           
2006                10                  1,007,092           161,969             1,169,061           
2006                11                  964,878             123,396             1,088,274           
2006                12                  864,054             117,364             981,418             
2006                TOTAL               11,658,991          1,855,438           13,514,429          
2007                1                   842,420             118,388             960,808             
2007                2                   803,459             103,993             907,452             
2007                3                   1,066,657           143,123             1,209,780           
2007                4                   1,082,756           149,567             1,232,323           
2007                5                   1,068,987           155,413             1,224,400           
2007                6                   1,089,486           180,600             1,270,086           
2007                7                   1,103,760           210,147             1,313,907           
2007                8                   1,121,702           205,144             1,326,846           
2007                9                   928,780             173,708             1,102,488           
2007                10                  1,018,489           171,712             1,190,201           
2007                11                  939,053             134,386             1,073,439           
2007                12                  796,341             121,915             918,256             
2007                TOTAL               11,861,890          1,868,096           13,729,986          
2008                1                   782,859             120,861             903,720             
2008                2                   803,890             111,381             915,271             
2008                3                   999,217             144,995             1,144,212           
2008                4                   1,017,629           149,839             1,167,468           
2008                5                   1,016,087           159,467             1,175,554           
2008                6                   1,028,895           170,019             1,198,914           
2008                7                   1,054,404           193,977             1,248,381           
2008                8                   1,041,864           190,489             1,232,353           
2008                9                   834,068             151,161             985,229             
2008                10                  904,537             151,329             1,055,866           
2008                11                  784,266             113,143             897,409             
2008                12                  761,165             114,117             875,282             
2008                TOTAL               11,028,881          1,770,778           12,799,659          
2009                1                   701,805             111,701             813,506             
2009                2                   712,297             100,784             813,081             
2009                3                   899,815             135,549             1,035,364           
2009                4                   936,464             150,365             1,086,829           
2009                5                   951,882             136,934             1,088,816           
2009                6                   972,021             168,663             1,140,684           
2009                7                   1,052,697           199,605             1,252,302           
2009                8                   1,051,062           197,734             1,248,796           
2009                9                   909,481             157,061             1,066,542           
2009                10                  973,605             155,773             1,129,378           
2009                11                  854,371             119,178             973,549             
2009                12                  803,933             120,101             924,034             
2009                TOTAL               10,819,433          1,753,448           12,572,881          
2010                1                   784,287             120,277             904,564             
2010                2                   737,245             104,532             841,777             
2010                3                   1,000,841           149,189             1,150,030           
2010                4                   1,001,961           141,152             1,143,113           
2010                5                   1,030,755           159,641             1,190,396           
2010                6                   1,044,088           179,407             1,223,495           
2010                7                   1,105,620           212,934             1,318,554           
2010                8                   1,121,832           203,234             1,325,066           
2010                9                   992,979             173,344             1,166,323           
2010                10                  1,074,889           174,258             1,249,147           
2010                11                  977,680             123,270             1,100,950           
2010                12                  864,428             110,882             975,310             
2010                TOTAL               11,736,605          1,852,120           13,588,725          
2011                1                   813,042             116,241             929,283             
2011                2                   759,880             96,069              855,949             
2011                3                   1,061,268           134,576             1,195,844           
2011                4                   1,057,710           171,590             1,229,300           
2011                5                   1,122,059           178,434             1,300,493           
2011                6                   1,129,551           201,104             1,330,655           
2011                7                   1,176,155           235,557             1,411,712           
2011                8                   1,131,514           223,706             1,355,220           
2011                9                   1,025,438           191,489             1,216,927           
2011                10                  1,058,167           181,428             1,239,595           
2011                11                  987,460             130,758             1,118,218           
2011                12                  873,851             126,869             1,000,720           
2011                TOTAL               12,196,095          1,987,821           14,183,916          
2012                1                   862,669             127,686             990,355             
2012                2                   827,440             109,005             936,445             
2012                3                   1,075,417           152,273             1,227,690           
2012                4                   1,087,728           166,019             1,253,747           
2012                5                   1,115,929           172,448             1,288,377           
2012                6                   1,120,818           206,012             1,326,830           
2012                7                   1,153,266           236,202             1,389,468           
2012                8                   1,169,053           239,534             1,408,587           
2012                9                   990,945             196,096             1,187,041           
2012                10                  1,014,408           177,227             1,191,635           
2012                11                  991,583             135,765             1,127,348           
2012                12                  891,933             128,323             1,020,256           
2012                TOTAL               12,301,189          2,046,590           14,347,779          
2013                1                   873,577             129,926             1,003,503           
2013                2                   802,878             102,234             905,112             
2013                3                   1,081,606           163,357             1,244,963           
