Year                Month               DOM                 INTER               TOTAL               
2002                10                  897,512             37,089              934,601             
2002                11                  856,150             42,375              898,525             
2002                12                  888,946             42,958              931,904             
2002                TOTAL               10,128,315          514,452             10,642,767          
2003                1                   714,823             48,512              763,335             
2003                2                   722,365             45,450              767,815             
2003                3                   928,722             60,161              988,883             
2003                4                   884,926             58,389              943,315             
2003                5                   940,235             60,325              1,000,560           
2003                6                   957,882             65,265              1,023,147           
2003                7                   1,030,420           73,222              1,103,642           
2003                8                   977,563             75,374              1,052,937           
2003                9                   772,699             45,819              818,518             
2003                10                  963,870             49,089              1,012,959           
2003                11                  918,450             58,057              976,507             
2003                12                  935,012             58,598              993,610             
2003                TOTAL               10,746,967          698,261             11,445,228          
2004                1                   788,745             64,437              853,182             
2004                2                   815,639             67,111              882,750             
2004                3                   1,006,996           82,824              1,089,820           
2004                4                   1,033,038           83,983              1,117,021           
2004                5                   991,658             77,770              1,069,428           
2004                6                   1,023,948           84,277              1,108,225           
2004                7                   1,071,232           94,192              1,165,424           
2004                8                   987,798             90,363              1,078,161           
2004                9                   839,442             50,748              890,190             
2004                10                  1,049,811           58,973              1,108,784           
2004                11                  1,008,081           64,060              1,072,141           
2004                12                  1,000,879           64,442              1,065,321           
2004                TOTAL               11,617,267          883,180             12,500,447          
2005                1                   905,333             76,615              981,948             
2005                2                   951,457             73,146              1,024,603           
2005                3                   1,237,593           97,038              1,334,631           
2005                4                   1,144,864           90,373              1,235,237           
2005                5                   1,170,326           85,006              1,255,332           
2005                6                   1,203,170           94,787              1,297,957           
2005                7                   1,229,031           104,604             1,333,635           
2005                8                   1,107,925           93,301              1,201,226           
2005                9                   978,184             57,377              1,035,561           
2005                10                  1,080,035           61,915              1,141,950           
2005                11                  1,036,370           62,902              1,099,272           
2005                12                  1,017,325           68,596              1,085,921           
2005                TOTAL               13,061,613          965,660             14,027,273          
2006                1                   936,236             84,309              1,020,545           
2006                2                   965,785             77,264              1,043,049           
2006                3                   1,209,173           103,127             1,312,300           
2006                4                   1,179,240           103,673             1,282,913           
2006                5                   1,225,552           88,492              1,314,044           
2006                6                   1,211,645           93,054              1,304,699           
2006                7                   1,229,975           103,334             1,333,309           
2006                8                   1,168,883           89,192              1,258,075           
2006                9                   1,036,507           55,926              1,092,433           
2006                10                  1,208,895           61,148              1,270,043           
2006                11                  1,201,518           73,778              1,275,296           
2006                12                  1,168,719           77,228              1,245,947           
2006                TOTAL               13,742,128          1,010,525           14,752,653          
2007                1                   1,138,774           83,771              1,222,545           
2007                2                   1,097,721           74,420              1,172,141           
2007                3                   1,338,005           99,535              1,437,540           
2007                4                   1,319,002           101,584             1,420,586           
2007                5                   1,381,979           91,755              1,473,734           
2007                6                   1,359,770           94,785              1,454,555           
2007                7                   1,418,959           105,684             1,524,643           
2007                8                   1,402,942           96,267              1,499,209           
2007                9                   1,217,008           63,279              1,280,287           
2007                10                  1,375,708           66,079              1,441,787           
2007                11                  1,299,956           76,281              1,376,237           
2007                12                  1,215,529           84,595              1,300,124           
2007                TOTAL               15,565,353          1,038,035           16,603,388          
2008                1                   1,210,084           98,436              1,308,520           
2008                2                   1,218,809           91,514              1,310,323           
2008                3                   1,382,756           116,660             1,499,416           
2008                4                   1,346,502           106,835             1,453,337           
2008                5                   1,423,094           103,073             1,526,167           
2008                6                   1,413,374           103,004             1,516,378           
2008                7                   1,470,285           112,663             1,582,948           
2008                8                   1,430,939           108,458             1,539,397           
2008                9                   1,279,671           58,653              1,338,324           
2008                10                  1,410,878           65,955              1,476,833           
2008                11                  1,280,053           76,477              1,356,530           
2008                12                  1,308,731           85,757              1,394,488           
2008                TOTAL               16,175,176          1,127,485           17,302,661          
2009                1                   1,219,487           96,655              1,316,142           
2009                2                   1,170,250           92,009              1,262,259           
2009                3                   1,357,509           120,292             1,477,801           
2009                4                   1,380,020           113,465             1,493,485           
2009                5                   1,396,109           102,973             1,499,082           
2009                6                   1,412,812           103,853             1,516,665           
2009                7                   1,472,304           112,737             1,585,041           
2009                8                   1,395,745           106,391             1,502,136           
2009                9                   1,255,398           65,651              1,321,049           
2009                10                  1,398,491           72,199              1,470,690           
2009                11                  1,280,421           74,243              1,354,664           
2009                12                  1,303,159           85,243              1,388,402           
2009                TOTAL               16,041,705          1,145,711           17,187,416          
2010                1                   1,220,670           97,547              1,318,217           
2010                2                   1,177,544           89,807              1,267,351           
2010                3                   1,413,772           110,671             1,524,443           
2010                4                   1,398,222           110,400             1,508,622           
2010                5                   1,490,972           117,737             1,608,709           
2010                6                   1,518,030           129,492             1,647,522           
2010                7                   1,532,247           146,432             1,678,679           
2010                8                   1,550,786           134,746             1,685,532           
2010                9                   1,488,846           89,269              1,578,115           
2010                10                  1,621,916           94,326              1,716,242           
