Year                Month               DOM                 INTER               TOTAL               
2002                10                  893,520             37,057              930,577             
2002                11                  849,925             44,946              894,871             
2002                12                  891,351             44,757              936,108             
2002                TOTAL               10,075,071          517,968             10,593,039          
2003                1                   712,522             45,508              758,030             
2003                2                   716,877             45,817              762,694             
2003                3                   921,831             58,422              980,253             
2003                4                   884,202             57,613              941,815             
2003                5                   939,978             62,511              1,002,489           
2003                6                   957,352             68,498              1,025,850           
2003                7                   1,022,775           70,493              1,093,268           
2003                8                   972,861             70,459              1,043,320           
2003                9                   772,265             41,325              813,590             
2003                10                  957,982             50,201              1,008,183           
2003                11                  909,006             61,363              970,369             
2003                12                  935,284             65,075              1,000,359           
2003                TOTAL               10,702,935          697,285             11,400,220          
2004                1                   789,665             60,169              849,834             
2004                2                   810,037             66,591              876,628             
2004                3                   1,001,728           79,177              1,080,905           
2004                4                   1,031,492           82,112              1,113,604           
2004                5                   989,577             80,781              1,070,358           
2004                6                   1,025,136           84,662              1,109,798           
2004                7                   1,072,443           85,282              1,157,725           
2004                8                   986,320             78,255              1,064,575           
2004                9                   841,196             49,996              891,192             
2004                10                  1,044,518           56,802              1,101,320           
2004                11                  1,002,336           66,371              1,068,707           
2004                12                  995,971             72,455              1,068,426           
2004                TOTAL               11,590,419          862,653             12,453,072          
2005                1                   904,022             70,359              974,381             
2005                2                   946,443             74,190              1,020,633           
2005                3                   1,230,758           96,729              1,327,487           
2005                4                   1,133,711           86,576              1,220,287           
2005                5                   1,171,461           87,904              1,259,365           
2005                6                   1,197,573           100,606             1,298,179           
2005                7                   1,227,641           97,893              1,325,534           
2005                8                   1,104,714           82,493              1,187,207           
2005                9                   977,628             58,052              1,035,680           
2005                10                  1,076,467           60,149              1,136,616           
2005                11                  1,032,786           65,827              1,098,613           
2005                12                  1,008,629           79,534              1,088,163           
2005                TOTAL               13,011,833          960,312             13,972,145          
2006                1                   937,852             79,027              1,016,879           
2006                2                   964,428             78,355              1,042,783           
2006                3                   1,206,871           100,837             1,307,708           
2006                4                   1,173,745           99,238              1,272,983           
2006                5                   1,228,585           92,029              1,320,614           
2006                6                   1,212,563           97,281              1,309,844           
2006                7                   1,229,298           94,776              1,324,074           
2006                8                   1,167,305           78,207              1,245,512           
2006                9                   1,038,016           56,309              1,094,325           
2006                10                  1,203,711           62,253              1,265,964           
2006                11                  1,196,615           77,038              1,273,653           
2006                12                  1,161,321           85,913              1,247,234           
2006                TOTAL               13,720,310          1,001,263           14,721,573          
2007                1                   1,140,818           79,699              1,220,517           
2007                2                   1,091,294           76,712              1,168,006           
2007                3                   1,328,824           99,349              1,428,173           
2007                4                   1,313,657           97,221              1,410,878           
2007                5                   1,383,588           95,051              1,478,639           
2007                6                   1,358,508           99,839              1,458,347           
2007                7                   1,414,464           101,011             1,515,475           
2007                8                   1,397,273           89,433              1,486,706           
2007                9                   1,214,884           62,433              1,277,317           
2007                10                  1,373,268           65,619              1,438,887           
2007                11                  1,296,389           79,884              1,376,273           
2007                12                  1,207,906           95,477              1,303,383           
2007                TOTAL               15,520,873          1,041,728           16,562,601          
2008                1                   1,211,535           94,091              1,305,626           
2008                2                   1,214,082           93,592              1,307,674           
2008                3                   1,376,621           114,393             1,491,014           
2008                4                   1,341,599           105,059             1,446,658           
2008                5                   1,421,972           106,462             1,528,434           
2008                6                   1,416,444           109,049             1,525,493           
2008                7                   1,463,552           109,724             1,573,276           
2008                8                   1,424,228           100,609             1,524,837           
2008                9                   1,272,235           61,559              1,333,794           
2008                10                  1,406,740           66,945              1,473,685           
2008                11                  1,263,974           84,524              1,348,498           
2008                12                  1,306,693           95,791              1,402,484           
2008                TOTAL               16,119,675          1,141,798           17,261,473          
2009                1                   1,217,314           91,535              1,308,849           
2009                2                   1,163,523           95,700              1,259,223           
2009                3                   1,353,205           114,764             1,467,969           
2009                4                   1,372,435           115,256             1,487,691           
2009                5                   1,396,301           106,958             1,503,259           
2009                6                   1,418,164           108,807             1,526,971           
2009                7                   1,468,893           107,301             1,576,194           
2009                8                   1,385,339           97,302              1,482,641           
2009                9                   1,253,706           67,662              1,321,368           
2009                10                  1,394,931           70,216              1,465,147           
2009                11                  1,269,802           78,866              1,348,668           
2009                12                  1,302,815           96,273              1,399,088           
2009                TOTAL               15,996,428          1,150,640           17,147,068          
2010                1                   1,214,274           91,815              1,306,089           
2010                2                   1,169,344           95,320              1,264,664           
2010                3                   1,400,142           114,961             1,515,103           
2010                4                   1,398,199           104,342             1,502,541           
2010                5                   1,481,311           126,205             1,607,516           
2010                6                   1,521,287           135,589             1,656,876           
2010                7                   1,535,311           138,521             1,673,832           
2010                8                   1,540,155           122,293             1,662,448           
2010                9                   1,485,439           93,662              1,579,101           
2010                10                  1,614,739           93,998              1,708,737           
2010                11                  1,486,083           91,935              1,578,018           
2010                12                  1,445,312           114,464             1,559,776           
2010                TOTAL               17,291,596          1,323,105           18,614,701          
2011                1                   1,314,511           104,514             1,419,025           
2011                2                   1,275,944           96,267              1,372,211           
2011                3                   1,527,975           125,485             1,653,460           
2011                4                   1,465,186           119,533             1,584,719           
2011                5                   1,579,461           135,870             1,715,331           
2011                6                   1,548,571           142,259             1,690,830           
2011                7                   1,570,513           149,948             1,720,461           
2011                8                   1,495,616           131,049             1,626,665           
2011                9                   1,392,044           96,730              1,488,774           
2011                10                  1,482,965           94,318              1,577,283           
2011                11                  1,473,365           99,253              1,572,618           
2011                12                  1,478,320           107,771             1,586,091           
2011                TOTAL               17,604,471          1,402,997           19,007,468          
2012                1                   1,427,153           99,713              1,526,866           
2012                2                   1,389,749           99,037              1,488,786           
2012                3                   1,589,213           134,042             1,723,255           
2012                4                   1,532,792           125,680             1,658,472           
2012                5                   1,621,369           141,679             1,763,048           
2012                6                   1,580,572           159,736             1,740,308           
2012                7                   1,598,145           153,264             1,751,409           
2012                8                   1,641,396           139,617             1,781,013           
2012                9                   1,470,192           98,143              1,568,335           
2012                10                  1,591,620           94,875              1,686,495           
2012                11                  1,584,498           93,041              1,677,539           
2012                12                  1,540,837           110,056             1,650,893           
2012                TOTAL               18,567,536          1,448,883           20,016,419          
2013                1                   1,496,250           100,859             1,597,109           
2013                2                   1,491,880           109,507             1,601,387           
2013                3                   1,672,432           135,082             1,807,514           
2013                4                   1,617,407           126,659             1,744,066           
2013                5                   1,731,871           147,576             1,879,447           
2013                6                   1,670,010           166,065             1,836,075           
2013                7                   1,699,291           163,310             1,862,601           
2013                8                   1,721,748           146,396             1,868,144           
2013                9                   1,721,043           99,742              1,820,785           
2013                10                  1,699,468           95,273              1,794,741           
