Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,125,086           147,407             1,272,493           
2002                11                  1,090,599           112,347             1,202,946           
2002                12                  1,189,199           124,735             1,313,934           
2002                TOTAL               13,500,608          1,569,533           15,070,141          
2003                1                   987,352             126,880             1,114,232           
2003                2                   974,407             109,400             1,083,807           
2003                3                   1,235,252           131,759             1,367,011           
2003                4                   1,175,538           103,739             1,279,277           
2003                5                   1,189,368           113,222             1,302,590           
2003                6                   1,246,055           134,478             1,380,533           
2003                7                   1,352,183           161,318             1,513,501           
2003                8                   1,274,443           160,435             1,434,878           
2003                9                   1,079,801           143,650             1,223,451           
2003                10                  1,228,962           135,419             1,364,381           
2003                11                  1,148,263           104,289             1,252,552           
2003                12                  1,208,723           111,143             1,319,866           
2003                TOTAL               14,100,347          1,535,732           15,636,079          
2004                1                   987,359             113,688             1,101,047           
2004                2                   1,048,453           109,304             1,157,757           
2004                3                   1,323,044           135,464             1,458,508           
2004                4                   1,322,425           134,249             1,456,674           
2004                5                   1,290,074           141,942             1,432,016           
2004                6                   1,381,668           158,561             1,540,229           
2004                7                   1,452,680           177,315             1,629,995           
2004                8                   1,397,616           177,862             1,575,478           
2004                9                   1,175,178           156,211             1,331,389           
2004                10                  1,312,073           157,397             1,469,470           
2004                11                  1,262,385           119,521             1,381,906           
2004                12                  1,251,978           126,766             1,378,744           
2004                TOTAL               15,204,933          1,708,280           16,913,213          
2005                1                   1,094,132           136,075             1,230,207           
2005                2                   1,092,947           118,397             1,211,344           
2005                3                   1,398,702           150,410             1,549,112           
2005                4                   1,400,418           154,828             1,555,246           
2005                5                   1,407,303           157,813             1,565,116           
2005                6                   1,429,812           172,676             1,602,488           
2005                7                   1,484,137           191,458             1,675,595           
2005                8                   1,399,262           185,977             1,585,239           
2005                9                   1,222,418           167,424             1,389,842           
2005                10                  1,286,257           150,115             1,436,372           
2005                11                  1,222,340           124,375             1,346,715           
2005                12                  1,216,130           131,083             1,347,213           
2005                TOTAL               15,653,858          1,840,631           17,494,489          
2006                1                   1,120,407           144,210             1,264,617           
2006                2                   1,090,641           127,460             1,218,101           
2006                3                   1,387,385           165,813             1,553,198           
2006                4                   1,347,026           169,162             1,516,188           
2006                5                   1,400,368           155,402             1,555,770           
2006                6                   1,380,220           159,871             1,540,091           
2006                7                   1,411,734           174,697             1,586,431           
2006                8                   1,392,098           167,791             1,559,889           
2006                9                   1,220,624           152,519             1,373,143           
2006                10                  1,335,615           150,967             1,486,582           
2006                11                  1,283,955           129,508             1,413,463           
2006                12                  1,226,700           134,012             1,360,712           
2006                TOTAL               15,596,773          1,831,412           17,428,185          
2007                1                   1,136,121           142,610             1,278,731           
2007                2                   1,103,316           129,085             1,232,401           
2007                3                   1,408,429           169,565             1,577,994           
2007                4                   1,378,799           167,184             1,545,983           
2007                5                   1,404,770           153,053             1,557,823           
2007                6                   1,365,965           166,310             1,532,275           
2007                7                   1,399,710           188,596             1,588,306           
2007                8                   1,415,674           183,018             1,598,692           
2007                9                   1,201,362           159,998             1,361,360           
2007                10                  1,308,801           158,800             1,467,601           
2007                11                  1,253,671           133,316             1,386,987           
2007                12                  1,213,095           143,298             1,356,393           
2007                TOTAL               15,589,713          1,894,833           17,484,546          
2008                1                   1,140,852           147,147             1,287,999           
2008                2                   1,141,131           141,539             1,282,670           
2008                3                   1,390,362           188,024             1,578,386           
2008                4                   1,349,488           169,819             1,519,307           
2008                5                   1,386,239           160,913             1,547,152           
2008                6                   1,361,731           172,305             1,534,036           
2008                7                   1,399,448           185,763             1,585,211           
2008                8                   1,345,535           176,725             1,522,260           
2008                9                   1,120,966           156,200             1,277,166           
2008                10                  1,208,701           150,872             1,359,573           
2008                11                  1,114,336           120,138             1,234,474           
2008                12                  1,160,114           130,538             1,290,652           
2008                TOTAL               15,118,903          1,899,983           17,018,886          
2009                1                   1,008,400           128,137             1,136,537           
2009                2                   983,613             107,153             1,090,766           
2009                3                   1,234,256           129,706             1,363,962           
2009                4                   1,244,951           124,537             1,369,488           
2009                5                   1,216,779           100,230             1,317,009           
2009                6                   1,256,068           116,041             1,372,109           
2009                7                   1,303,645           135,129             1,438,774           
2009                8                   1,239,303           133,951             1,373,254           
2009                9                   1,071,900           111,406             1,183,306           
2009                10                  1,145,195           105,130             1,250,325           
2009                11                  1,068,757           85,073              1,153,830           
2009                12                  1,073,169           98,315              1,171,484           
2009                TOTAL               13,846,036          1,374,808           15,220,844          
2010                1                   985,908             98,935              1,084,843           
2010                2                   931,163             92,213              1,023,376           
2010                3                   1,227,264           122,290             1,349,554           
2010                4                   1,208,097           110,904             1,319,001           
2010                5                   1,236,798           112,074             1,348,872           
2010                6                   1,297,241           136,431             1,433,672           
2010                7                   1,342,787           152,939             1,495,726           
2010                8                   1,329,018           149,530             1,478,548           
