Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,171,844           135,931             1,307,775           
2002                11                  1,091,289           114,887             1,206,176           
2002                12                  1,223,043           128,228             1,351,271           
2002                TOTAL               13,546,675          1,519,045           15,065,720          
2003                1                   978,873             120,063             1,098,936           
2003                2                   1,024,936           107,265             1,132,201           
2003                3                   1,199,815           129,463             1,329,278           
2003                4                   1,157,014           93,150              1,250,164           
2003                5                   1,163,848           122,498             1,286,346           
2003                6                   1,252,163           137,085             1,389,248           
2003                7                   1,349,534           146,083             1,495,617           
2003                8                   1,269,070           147,855             1,416,925           
2003                9                   1,085,813           137,858             1,223,671           
2003                10                  1,240,375           129,659             1,370,034           
2003                11                  1,143,617           108,428             1,252,045           
2003                12                  1,243,034           115,881             1,358,915           
2003                TOTAL               14,108,092          1,495,288           15,603,380          
2004                1                   974,268             108,207             1,082,475           
2004                2                   1,069,606           104,982             1,174,588           
2004                3                   1,298,862           136,602             1,435,464           
2004                4                   1,310,614           125,014             1,435,628           
2004                5                   1,258,115           154,565             1,412,680           
2004                6                   1,384,800           163,780             1,548,580           
2004                7                   1,449,208           168,038             1,617,246           
2004                8                   1,383,591           163,716             1,547,307           
2004                9                   1,184,722           155,248             1,339,970           
2004                10                  1,315,771           146,220             1,461,991           
2004                11                  1,257,157           120,687             1,377,844           
2004                12                  1,273,012           133,819             1,406,831           
2004                TOTAL               15,159,726          1,680,878           16,840,604          
2005                1                   1,083,038           125,151             1,208,189           
2005                2                   1,123,629           115,606             1,239,235           
2005                3                   1,433,891           154,448             1,588,339           
2005                4                   1,325,289           142,928             1,468,217           
2005                5                   1,372,460           168,368             1,540,828           
2005                6                   1,429,621           177,708             1,607,329           
2005                7                   1,482,708           178,668             1,661,376           
2005                8                   1,386,978           171,063             1,558,041           
2005                9                   1,232,604           161,939             1,394,543           
2005                10                  1,288,292           142,450             1,430,742           
2005                11                  1,226,054           122,579             1,348,633           
2005                12                  1,232,507           142,352             1,374,859           
2005                TOTAL               15,617,071          1,803,260           17,420,331          
2006                1                   1,103,371           136,153             1,239,524           
2006                2                   1,139,050           126,647             1,265,697           
2006                3                   1,363,982           167,792             1,531,774           
2006                4                   1,318,171           156,541             1,474,712           
2006                5                   1,362,512           167,379             1,529,891           
2006                6                   1,380,187           164,219             1,544,406           
2006                7                   1,405,847           161,577             1,567,424           
2006                8                   1,384,781           156,812             1,541,593           
2006                9                   1,220,284           150,501             1,370,785           
2006                10                  1,341,800           144,996             1,486,796           
2006                11                  1,287,985           127,428             1,415,413           
2006                12                  1,272,182           142,986             1,415,168           
2006                TOTAL               15,580,152          1,803,031           17,383,183          
2007                1                   1,130,721           135,453             1,266,174           
2007                2                   1,146,367           127,757             1,274,124           
2007                3                   1,386,511           169,342             1,555,853           
2007                4                   1,351,261           153,882             1,505,143           
2007                5                   1,372,117           164,620             1,536,737           
2007                6                   1,366,370           171,388             1,537,758           
2007                7                   1,405,941           169,631             1,575,572           
2007                8                   1,407,573           175,483             1,583,056           
2007                9                   1,200,159           159,119             1,359,278           
2007                10                  1,318,476           155,210             1,473,686           
2007                11                  1,256,578           135,904             1,392,482           
2007                12                  1,224,387           152,821             1,377,208           
2007                TOTAL               15,566,461          1,870,610           17,437,071          
2008                1                   1,138,102           145,246             1,283,348           
2008                2                   1,180,924           145,615             1,326,539           
2008                3                   1,377,064           188,232             1,565,296           
2008                4                   1,307,103           154,892             1,461,995           
2008                5                   1,343,517           174,733             1,518,250           
2008                6                   1,368,943           176,225             1,545,168           
2008                7                   1,396,322           169,861             1,566,183           
2008                8                   1,334,885           170,760             1,505,645           
2008                9                   1,127,917           156,814             1,284,731           
2008                10                  1,220,445           148,248             1,368,693           
2008                11                  1,108,330           122,765             1,231,095           
2008                12                  1,169,467           140,056             1,309,523           
2008                TOTAL               15,073,019          1,893,447           16,966,466          
2009                1                   1,011,762           125,433             1,137,195           
2009                2                   1,014,790           108,739             1,123,529           
2009                3                   1,206,435           129,809             1,336,244           
2009                4                   1,220,654           116,871             1,337,525           
2009                5                   1,184,207           113,956             1,298,163           
2009                6                   1,253,053           126,529             1,379,582           
2009                7                   1,294,686           124,126             1,418,812           
2009                8                   1,246,420           122,236             1,368,656           
2009                9                   1,065,809           112,565             1,178,374           
2009                10                  1,156,660           103,231             1,259,891           
2009                11                  1,061,254           87,618              1,148,872           
2009                12                  1,090,748           104,198             1,194,946           
2009                TOTAL               13,806,478          1,375,311           15,181,789          
