Year                Month               DOM                 INTER               TOTAL               
2002                10                  886,962             297,829             1,184,791           
2002                11                  849,805             249,795             1,099,600           
2002                12                  936,791             269,680             1,206,471           
2002                TOTAL               10,881,272          3,607,939           14,489,211          
2003                1                   751,338             271,351             1,022,689           
2003                2                   711,353             225,305             936,658             
2003                3                   894,590             278,777             1,173,367           
2003                4                   897,477             259,952             1,157,429           
2003                5                   940,574             280,712             1,221,286           
2003                6                   978,199             332,536             1,310,735           
2003                7                   1,030,338           385,569             1,415,907           
2003                8                   1,055,666           417,346             1,473,012           
2003                9                   803,357             322,907             1,126,264           
2003                10                  915,649             328,376             1,244,025           
2003                11                  905,660             285,781             1,191,441           
2003                12                  922,161             294,082             1,216,243           
2003                TOTAL               10,806,362          3,682,694           14,489,056          
2004                1                   789,896             309,041             1,098,937           
2004                2                   814,985             275,043             1,090,028           
2004                3                   972,104             343,447             1,315,551           
2004                4                   1,009,555           355,994             1,365,549           
2004                5                   958,877             350,159             1,309,036           
2004                6                   1,025,224           391,514             1,416,738           
2004                7                   1,056,200           463,379             1,519,579           
2004                8                   1,060,464           459,604             1,520,068           
2004                9                   858,848             363,311             1,222,159           
2004                10                  969,944             366,665             1,336,609           
2004                11                  968,050             323,738             1,291,788           
2004                12                  948,246             323,314             1,271,560           
2004                TOTAL               11,432,393          4,325,209           15,757,602          
2005                1                   817,156             339,406             1,156,562           
2005                2                   794,768             288,726             1,083,494           
2005                3                   1,029,632           373,765             1,403,397           
2005                4                   1,000,291           373,160             1,373,451           
2005                5                   1,023,012           373,836             1,396,848           
2005                6                   998,809             400,799             1,399,608           
2005                7                   1,039,850           486,137             1,525,987           
2005                8                   1,066,444           489,741             1,556,185           
2005                9                   945,099             399,679             1,344,778           
2005                10                  1,003,481           383,825             1,387,306           
2005                11                  1,044,209           325,908             1,370,117           
2005                12                  1,047,734           332,214             1,379,948           
2005                TOTAL               11,810,485          4,567,196           16,377,681          
2006                1                   937,178             352,248             1,289,426           
2006                2                   881,278             300,094             1,181,372           
2006                3                   1,152,738           407,057             1,559,795           
2006                4                   1,165,873           428,337             1,594,210           
2006                5                   1,148,467           417,598             1,566,065           
2006                6                   1,120,812           456,355             1,577,167           
2006                7                   1,128,636           537,926             1,666,562           
2006                8                   1,132,849           530,050             1,662,899           
2006                9                   952,893             433,516             1,386,409           
2006                10                  1,036,292           414,959             1,451,251           
2006                11                  1,067,521           361,791             1,429,312           
2006                12                  1,054,216           372,488             1,426,704           
2006                TOTAL               12,778,753          5,012,419           17,791,172          
2007                1                   937,606             382,898             1,320,504           
2007                2                   892,642             336,594             1,229,236           
2007                3                   1,094,200           425,649             1,519,849           
2007                4                   1,168,804           450,723             1,619,527           
2007                5                   1,165,259           446,722             1,611,981           
2007                6                   1,127,493           477,664             1,605,157           
2007                7                   1,144,390           558,322             1,702,712           
2007                8                   1,188,700           567,713             1,756,413           
2007                9                   978,002             449,624             1,427,626           
2007                10                  1,039,083           455,907             1,494,990           
2007                11                  1,047,970           397,683             1,445,653           
2007                12                  992,894             412,611             1,405,505           
2007                TOTAL               12,777,043          5,362,110           18,139,153          
2008                1                   927,891             412,513             1,340,404           
2008                2                   889,235             377,110             1,266,345           
2008                3                   1,113,528           482,698             1,596,226           
2008                4                   1,069,318           474,679             1,543,997           
2008                5                   1,076,839           484,339             1,561,178           
2008                6                   1,072,827           506,828             1,579,655           
2008                7                   1,108,255           587,628             1,695,883           
2008                8                   1,127,903           598,783             1,726,686           
2008                9                   874,594             449,776             1,324,370           
2008                10                  967,759             455,162             1,422,921           
2008                11                  899,942             381,817             1,281,759           
2008                12                  917,583             401,523             1,319,106           
