Year                Month               DOM                 INTER               TOTAL               
2002                10                  902,187             290,067             1,192,254           
2002                11                  847,886             264,997             1,112,883           
2002                12                  949,275             294,598             1,243,873           
2002                TOTAL               10,848,212          3,594,123           14,442,335          
2003                1                   764,371             258,807             1,023,178           
2003                2                   725,871             227,675             953,546             
2003                3                   868,427             271,825             1,140,252           
2003                4                   893,929             249,848             1,143,777           
2003                5                   912,647             299,924             1,212,571           
2003                6                   960,538             358,423             1,318,961           
2003                7                   1,069,074           380,436             1,449,510           
2003                8                   1,056,371           387,023             1,443,394           
2003                9                   772,835             312,551             1,085,386           
2003                10                  935,641             322,187             1,257,828           
2003                11                  907,685             293,533             1,201,218           
2003                12                  963,598             326,715             1,290,313           
2003                TOTAL               10,830,987          3,688,947           14,519,934          
2004                1                   788,592             289,213             1,077,805           
2004                2                   822,918             270,047             1,092,965           
2004                3                   960,453             330,230             1,290,683           
2004                4                   1,011,570           335,000             1,346,570           
2004                5                   912,663             366,382             1,279,045           
2004                6                   1,024,058           419,829             1,443,887           
2004                7                   1,104,089           433,854             1,537,943           
2004                8                   1,069,465           435,239             1,504,704           
2004                9                   821,233             348,347             1,169,580           
2004                10                  998,844             356,851             1,355,695           
2004                11                  961,227             333,898             1,295,125           
2004                12                  970,806             355,302             1,326,108           
2004                TOTAL               11,445,918          4,274,192           15,720,110          
2005                1                   821,199             326,258             1,147,457           
2005                2                   814,463             286,142             1,100,605           
2005                3                   1,028,235           367,396             1,395,631           
2005                4                   991,477             361,845             1,353,322           
2005                5                   957,445             393,434             1,350,879           
2005                6                   1,008,674           423,352             1,432,026           
2005                7                   1,073,161           463,602             1,536,763           
2005                8                   1,080,486           455,784             1,536,270           
2005                9                   908,831             383,035             1,291,866           
2005                10                  1,021,576           368,743             1,390,319           
2005                11                  1,059,432           337,947             1,397,379           
2005                12                  1,068,130           373,207             1,441,337           
2005                TOTAL               11,833,109          4,540,745           16,373,854          
2006                1                   948,258             332,710             1,280,968           
2006                2                   900,519             300,215             1,200,734           
2006                3                   1,139,984           396,723             1,536,707           
2006                4                   1,166,662           409,551             1,576,213           
2006                5                   1,091,164           451,500             1,542,664           
2006                6                   1,125,702           492,593             1,618,295           
2006                7                   1,174,287           501,218             1,675,505           
2006                8                   1,155,999           483,271             1,639,270           
