Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,077,598           182,572             1,260,170           
2002                11                  1,041,942           183,529             1,225,471           
2002                12                  1,167,652           207,005             1,374,657           
2002                TOTAL               13,169,408          2,607,750           15,777,158          
2003                1                   998,672             221,415             1,220,087           
2003                2                   946,906             180,040             1,126,946           
2003                3                   1,147,893           222,271             1,370,164           
2003                4                   1,047,115           195,334             1,242,449           
2003                5                   1,137,871           199,653             1,337,524           
2003                6                   1,223,072           231,470             1,454,542           
2003                7                   1,324,372           282,039             1,606,411           
2003                8                   1,200,816           261,528             1,462,344           
2003                9                   1,012,840           181,394             1,194,234           
2003                10                  1,137,529           181,750             1,319,279           
2003                11                  1,116,418           204,469             1,320,887           
2003                12                  1,226,577           223,750             1,450,327           
2003                TOTAL               13,520,081          2,585,113           16,105,194          
2004                1                   1,053,478           244,121             1,297,599           
2004                2                   1,009,492           209,229             1,218,721           
2004                3                   1,208,498           260,360             1,468,858           
2004                4                   1,168,314           246,689             1,415,003           
2004                5                   1,182,919           227,626             1,410,545           
2004                6                   1,282,647           269,079             1,551,726           
2004                7                   1,355,975           329,635             1,685,610           
2004                8                   1,246,055           299,814             1,545,869           
2004                9                   1,050,558           313,970             1,364,528           
2004                10                  1,217,358           225,198             1,442,556           
2004                11                  1,209,552           225,815             1,435,367           
2004                12                  1,288,399           254,772             1,543,171           
2004                TOTAL               14,273,245          3,106,308           17,379,553          
2005                1                   1,161,607           290,004             1,451,611           
2005                2                   1,107,558           240,598             1,348,156           
2005                3                   1,405,084           308,142             1,713,226           
2005                4                   1,252,532           264,673             1,517,205           
2005                5                   1,342,636           251,580             1,594,216           
2005                6                   1,425,221           292,073             1,717,294           
2005                7                   1,474,219           356,973             1,831,192           
2005                8                   1,379,523           324,235             1,703,758           
2005                9                   1,075,469           205,506             1,280,975           
2005                10                  1,338,071           229,646             1,567,717           
2005                11                  1,326,553           234,594             1,561,147           
2005                12                  1,412,878           277,601             1,690,479           
2005                TOTAL               15,701,351          3,275,625           18,976,976          
2006                1                   1,291,454           307,103             1,598,557           
2006                2                   1,232,003           251,549             1,483,552           
2006                3                   1,481,682           316,558             1,798,240           
2006                4                   1,391,313           312,410             1,703,723           
2006                5                   1,459,715           278,754             1,738,469           
2006                6                   1,531,790           324,033             1,855,823           
2006                7                   1,546,186           389,377             1,935,563           
2006                8                   1,456,260           349,510             1,805,770           
2006                9                   1,269,059           247,992             1,517,051           
2006                10                  1,413,145           250,201             1,663,346           
2006                11                  1,401,906           265,867             1,667,773           
2006                12                  1,463,029           289,904             1,752,933           
2006                TOTAL               16,937,542          3,583,258           20,520,800          
2007                1                   1,316,641           315,529             1,632,170           
2007                2                   1,263,124           267,607             1,530,731           
2007                3                   1,489,792           336,464             1,826,256           
