Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,063,821           186,946             1,250,767           
2002                11                  1,027,440           201,710             1,229,150           
2002                12                  1,148,957           236,251             1,385,208           
2002                TOTAL               13,118,165          2,623,987           15,742,152          
2003                1                   1,001,319           205,196             1,206,515           
2003                2                   938,329             181,790             1,120,119           
2003                3                   1,145,308           220,222             1,365,530           
2003                4                   1,051,907           186,815             1,238,722           
2003                5                   1,138,856           216,904             1,355,760           
2003                6                   1,223,982           258,250             1,482,232           
2003                7                   1,327,383           271,412             1,598,795           
2003                8                   1,192,823           237,552             1,430,375           
2003                9                   1,001,663           177,090             1,178,753           
2003                10                  1,119,665           188,799             1,308,464           
2003                11                  1,099,828           218,630             1,318,458           
2003                12                  1,200,816           261,428             1,462,244           
2003                TOTAL               13,441,879          2,624,088           16,065,967          
2004                1                   1,022,434           226,657             1,249,091           
2004                2                   1,035,448           215,379             1,250,827           
2004                3                   1,202,430           259,675             1,462,105           
2004                4                   1,182,114           236,474             1,418,588           
2004                5                   1,188,050           255,113             1,443,163           
2004                6                   1,268,230           292,396             1,560,626           
2004                7                   1,363,953           319,122             1,683,075           
2004                8                   1,225,328           268,610             1,493,938           
2004                9                   1,055,802           206,968             1,262,770           
2004                10                  1,200,953           226,454             1,427,407           
2004                11                  1,194,284           242,186             1,436,470           
2004                12                  1,252,994           300,597             1,553,591           
2004                TOTAL               14,192,020          3,049,631           17,241,651          
2005                1                   1,163,246           272,677             1,435,923           
2005                2                   1,102,856           241,711             1,344,567           
2005                3                   1,393,624           303,590             1,697,214           
2005                4                   1,272,522           259,255             1,531,777           
2005                5                   1,360,022           278,905             1,638,927           
2005                6                   1,421,428           322,154             1,743,582           
2005                7                   1,469,687           344,590             1,814,277           
2005                8                   1,362,858           293,367             1,656,225           
2005                9                   1,091,952           206,495             1,298,447           
2005                10                  1,322,968           231,883             1,554,851           
2005                11                  1,315,701           249,889             1,565,590           
2005                12                  1,378,781           318,982             1,697,763           
2005                TOTAL               15,655,645          3,323,498           18,979,143          
2006                1                   1,302,759           286,674             1,589,433           
2006                2                   1,224,667           255,830             1,480,497           
2006                3                   1,472,196           314,861             1,787,057           
2006                4                   1,404,955           297,760             1,702,715           
2006                5                   1,484,388           307,070             1,791,458           
2006                6                   1,514,314           354,556             1,868,870           
2006                7                   1,543,685           369,853             1,913,538           
2006                8                   1,443,713           318,124             1,761,837           
2006                9                   1,275,208           245,997             1,521,205           
2006                10                  1,392,813           251,660             1,644,473           
2006                11                  1,392,450           275,654             1,668,104           
2006                12                  1,423,707           330,873             1,754,580           
2006                TOTAL               16,874,855          3,608,912           20,483,767          
2007                1                   1,328,594           292,154             1,620,748           
2007                2                   1,264,355           266,605             1,530,960           
2007                3                   1,480,625           330,012             1,810,637           
2007                4                   1,436,668           305,388             1,742,056           
2007                5                   1,495,984           325,722             1,821,706           
2007                6                   1,482,370           369,958             1,852,328           
2007                7                   1,497,577           379,766             1,877,343           
2007                8                   1,488,465           340,362             1,828,827           
2007                9                   1,269,101           251,529             1,520,630           
2007                10                  1,419,649           265,800             1,685,449           
2007                11                  1,389,471           288,939             1,678,410           
2007                12                  1,410,862           341,254             1,752,116           
2007                TOTAL               16,963,721          3,757,489           20,721,210          
2008                1                   1,317,951           302,206             1,620,157           
2008                2                   1,280,580           299,469             1,580,049           
2008                3                   1,465,793           360,875             1,826,668           
2008                4                   1,396,235           307,797             1,704,032           
2008                5                   1,458,345           345,179             1,803,524           
2008                6                   1,475,219           379,993             1,855,212           
2008                7                   1,494,863           396,118             1,890,981           
2008                8                   1,445,753           354,982             1,800,735           
2008                9                   1,012,126           211,789             1,223,915           
2008                10                  1,293,248           267,140             1,560,388           
2008                11                  1,202,042           284,876             1,486,918           
2008                12                  1,320,639           340,065             1,660,704           
2008                TOTAL               16,162,794          3,850,489           20,013,283          
2009                1                   1,151,808           301,420             1,453,228           
2009                2                   1,071,693           269,542             1,341,235           
2009                3                   1,341,263           329,488             1,670,751           
2009                4                   1,284,623           306,912             1,591,535           
2009                5                   1,316,216           276,985             1,593,201           
2009                6                   1,407,323           379,585             1,786,908           
2009                7                   1,493,255           395,341             1,888,596           
2009                8                   1,384,861           348,590             1,733,451           
2009                9                   1,171,429           251,949             1,423,378           
2009                10                  1,288,819           279,198             1,568,017           
2009                11                  1,213,534           299,886             1,513,420           
2009                12                  1,318,970           372,382             1,691,352           
2009                TOTAL               15,443,794          3,811,278           19,255,072          
2010                1                   1,157,643           329,497             1,487,140           
2010                2                   1,084,944           295,500             1,380,444           
2010                3                   1,293,924           349,516             1,643,440           
2010                4                   1,254,619           310,352             1,564,971           
2010                5                   1,321,714           344,970             1,666,684           
2010                6                   1,408,622           395,170             1,803,792           
2010                7                   1,441,912           429,835             1,871,747           
2010                8                   1,352,846           353,551             1,706,397           
2010                9                   1,177,856           289,206             1,467,062           
2010                10                  1,298,975           318,171             1,617,146           
2010                11                  1,239,234           332,511             1,571,745           
2010                12                  1,301,427           406,333             1,707,760           
2010                TOTAL               15,333,716          4,154,612           19,488,328          
2011                1                   1,141,109           358,516             1,499,625           
2011                2                   1,005,238           296,226             1,301,464           
2011                3                   1,296,916           366,979             1,663,895           
2011                4                   1,223,696           334,878             1,558,574           
2011                5                   1,337,383           373,458             1,710,841           
2011                6                   1,398,560           407,604             1,806,164           
2011                7                   1,464,293           436,442             1,900,735           
2011                8                   1,338,752           346,931             1,685,683           
2011                9                   1,154,299           274,780             1,429,079           
2011                10                  1,222,640           289,855             1,512,495           
2011                11                  1,218,896           314,991             1,533,887           
2011                12                  1,263,638           397,696             1,661,334           
2011                TOTAL               15,065,420          4,198,356           19,263,776          
2012                1                   1,130,192           346,457             1,476,649           
2012                2                   1,084,285           299,272             1,383,557           
2012                3                   1,275,278           368,234             1,643,512           
2012                4                   1,248,748           338,064             1,586,812           
2012                5                   1,309,413           366,711             1,676,124           
2012                6                   1,349,918           422,089             1,772,007           
2012                7                   1,359,565           429,328             1,788,893           
2012                8                   1,313,780           360,233             1,674,013           
2012                9                   1,108,994           290,253             1,399,247           
2012                10                  1,207,398           301,899             1,509,297           
2012                11                  1,188,212           325,539             1,513,751           
2012                12                  1,195,622           382,385             1,578,007           
2012                TOTAL               14,771,405          4,230,464           19,001,869          
2013                1                   1,125,950           342,707             1,468,657           
2013                2                   1,059,035           295,641             1,354,676           
2013                3                   1,261,911           383,652             1,645,563           
2013                4                   1,175,697           341,089             1,516,786           
2013                5                   1,270,301           375,302             1,645,603           
2013                6                   1,326,898           422,118             1,749,016           
2013                7                   1,315,762           442,803             1,758,565           
2013                8                   1,269,081           370,787             1,639,868           
2013                9                   1,105,864           297,789             1,403,653           
