Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,260,979           30,132              1,291,111           
2002                11                  1,177,857           32,271              1,210,128           
2002                12                  1,217,400           32,277              1,249,677           
2002                TOTAL               15,078,708          353,347             15,432,055          
2003                1                   1,233,163           34,977              1,268,140           
2003                2                   1,205,478           33,462              1,238,940           
2003                3                   1,362,330           32,442              1,394,772           
2003                4                   1,301,276           27,639              1,328,915           
2003                5                   1,375,061           27,986              1,403,047           
2003                6                   1,357,131           29,354              1,386,485           
2003                7                   1,456,234           37,897              1,494,131           
2003                8                   1,441,880           37,453              1,479,333           
2003                9                   1,329,675           33,946              1,363,621           
2003                10                  1,437,118           36,791              1,473,909           
2003                11                  1,314,584           40,089              1,354,673           
2003                12                  1,334,553           40,930              1,375,483           
2003                TOTAL               16,148,483          412,966             16,561,449          
2004                1                   1,323,097           43,255              1,366,352           
2004                2                   1,350,338           42,180              1,392,518           
2004                3                   1,628,385           48,467              1,676,852           
2004                4                   1,595,698           53,502              1,649,200           
2004                5                   1,586,310           46,529              1,632,839           
2004                6                   1,574,837           43,303              1,618,140           
2004                7                   1,664,649           48,824              1,713,473           
2004                8                   1,626,373           51,873              1,678,246           
2004                9                   1,538,926           45,507              1,584,433           
2004                10                  1,643,459           46,154              1,689,613           
2004                11                  1,515,559           51,380              1,566,939           
2004                12                  1,534,249           52,868              1,587,117           
2004                TOTAL               18,581,880          573,842             19,155,722          
2005                1                   1,450,328           51,436              1,501,764           
2005                2                   1,441,271           53,379              1,494,650           
2005                3                   1,772,857           71,821              1,844,678           
2005                4                   1,663,045           62,301              1,725,346           
2005                5                   1,745,923           63,249              1,809,172           
2005                6                   1,723,898           56,011              1,779,909           
2005                7                   1,807,271           66,433              1,873,704           
2005                8                   1,744,243           65,967              1,810,210           
2005                9                   1,660,447           64,374              1,724,821           
2005                10                  1,719,464           71,260              1,790,724           
2005                11                  1,618,040           79,441              1,697,481           
2005                12                  1,631,741           74,879              1,706,620           
2005                TOTAL               19,978,528          780,551             20,759,079          
2006                1                   1,556,818           79,389              1,636,207           
2006                2                   1,520,973           77,219              1,598,192           
2006                3                   1,848,838           87,536              1,936,374           
2006                4                   1,748,504           83,173              1,831,677           
2006                5                   1,766,309           75,055              1,841,364           
2006                6                   1,776,420           67,187              1,843,607           
2006                7                   1,822,788           74,766              1,897,554           
2006                8                   1,783,699           78,323              1,862,022           
2006                9                   1,664,960           77,017              1,741,977           
2006                10                  1,765,589           81,392              1,846,981           
2006                11                  1,696,769           88,554              1,785,323           
2006                12                  1,665,271           85,961              1,751,232           
2006                TOTAL               20,616,938          955,572             21,572,510          
2007                1                   1,591,655           84,678              1,676,333           
2007                2                   1,535,617           78,009              1,613,626           
2007                3                   1,870,742           94,869              1,965,611           
2007                4                   1,760,110           91,143              1,851,253           
2007                5                   1,842,476           90,422              1,932,898           
2007                6                   1,838,708           78,843              1,917,551           
2007                7                   1,886,100           88,349              1,974,449           
2007                8                   1,893,031           93,903              1,986,934           
2007                9                   1,706,209           91,492              1,797,701           
2007                10                  1,801,221           97,434              1,898,655           
2007                11                  1,675,572           97,239              1,772,811           
2007                12                  1,650,117           92,059              1,742,176           
2007                TOTAL               21,051,558          1,078,440           22,129,998          
2008                1                   1,585,642           91,246              1,676,888           
2008                2                   1,611,268           91,466              1,702,734           
2008                3                   1,834,112           101,034             1,935,146           
2008                4                   1,685,898           97,613              1,783,511           
2008                5                   1,793,880           89,233              1,883,113           
2008                6                   1,716,529           78,324              1,794,853           
2008                7                   1,746,815           83,242              1,830,057           
2008                8                   1,718,740           90,387              1,809,127           
2008                9                   1,489,571           83,139              1,572,710           
2008                10                  1,585,109           90,135              1,675,244           
2008                11                  1,393,720           101,687             1,495,407           
2008                12                  1,447,847           95,156              1,543,003           
2008                TOTAL               19,609,131          1,092,662           20,701,793          
2009                1                   1,339,131           92,128              1,431,259           
2009                2                   1,375,348           98,229              1,473,577           
2009                3                   1,628,434           108,703             1,737,137           
2009                4                   1,584,922           113,109             1,698,031           
2009                5                   1,583,231           87,500              1,670,731           
2009                6                   1,540,423           75,552              1,615,975           
2009                7                   1,622,673           78,134              1,700,807           
2009                8                   1,563,705           86,741              1,650,446           
2009                9                   1,486,122           84,832              1,570,954           
2009                10                  1,571,441           99,912              1,671,353           
2009                11                  1,398,825           102,005             1,500,830           
2009                12                  1,415,472           95,517              1,510,989           
2009                TOTAL               18,109,727          1,122,362           19,232,089          
2010                1                   1,321,655           94,072              1,415,727           
2010                2                   1,290,279           91,491              1,381,770           
2010                3                   1,555,924           104,065             1,659,989           
2010                4                   1,519,459           99,082              1,618,541           
2010                5                   1,530,873           96,946              1,627,819           
2010                6                   1,515,969           84,110              1,600,079           
2010                7                   1,581,509           91,004              1,672,513           
2010                8                   1,536,850           87,216              1,624,066           
2010                9                   1,479,764           85,050              1,564,814           
2010                10                  1,605,340           89,472              1,694,812           
2010                11                  1,394,837           84,231              1,479,068           
2010                12                  1,420,360           88,061              1,508,421           
2010                TOTAL               17,752,819          1,094,800           18,847,619          
2011                1                   1,405,081           89,190              1,494,271           
2011                2                   1,310,182           88,901              1,399,083           
2011                3                   1,595,730           104,380             1,700,110           
2011                4                   1,524,457           113,413             1,637,870           
2011                5                   1,604,215           105,446             1,709,661           
2011                6                   1,594,505           100,358             1,694,863           
2011                7                   1,645,157           106,753             1,751,910           
2011                8                   1,594,940           107,100             1,702,040           
2011                9                   1,577,142           111,998             1,689,140           
2011                10                  1,651,257           120,507             1,771,764           
2011                11                  1,444,553           115,395             1,559,948           
2011                12                  1,454,208           111,604             1,565,812           
2011                TOTAL               18,401,427          1,275,045           19,676,472          
2012                1                   1,385,411           105,683             1,491,094           
2012                2                   1,385,726           107,961             1,493,687           
2012                3                   1,630,857           121,791             1,752,648           
2012                4                   1,550,676           120,625             1,671,301           
2012                5                   1,620,186           120,244             1,740,430           
2012                6                   1,584,684           107,021             1,691,705           
2012                7                   1,612,068           118,074             1,730,142           
2012                8                   1,608,454           121,126             1,729,580           
2012                9                   1,503,785           121,348             1,625,133           
2012                10                  1,619,271           129,057             1,748,328           
2012                11                  1,443,490           122,409             1,565,899           
2012                12                  1,413,346           118,108             1,531,454           
2012                TOTAL               18,357,954          1,413,447           19,771,401          
2013                1                   1,360,081           108,628             1,468,709           
2013                2                   1,320,110           110,189             1,430,299           
2013                3                   1,630,307           135,407             1,765,714           
2013                4                   1,557,611           127,118             1,684,729           
