Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,609,594           499,739             2,109,333           
2002                11                  1,503,856           506,023             2,009,879           
2002                12                  1,721,750           568,112             2,289,862           
2002                TOTAL               18,998,099          6,869,521           25,867,620          
2003                1                   1,530,784           626,526             2,157,310           
2003                2                   1,364,490           477,911             1,842,401           
2003                3                   1,569,843           532,241             2,102,084           
2003                4                   1,511,517           475,949             1,987,466           
2003                5                   1,610,315           477,660             2,087,975           
2003                6                   1,757,801           526,989             2,284,790           
2003                7                   1,917,835           655,554             2,573,389           
2003                8                   1,884,717           666,536             2,551,253           
2003                9                   1,451,198           516,176             1,967,374           
2003                10                  1,571,564           504,994             2,076,558           
2003                11                  1,540,620           526,699             2,067,319           
2003                12                  1,706,136           585,040             2,291,176           
2003                TOTAL               19,416,820          6,572,275           25,989,095          
2004                1                   1,514,458           636,177             2,150,635           
2004                2                   1,472,742           527,046             1,999,788           
2004                3                   1,727,677           582,796             2,310,473           
2004                4                   1,774,081           612,290             2,386,371           
2004                5                   1,778,951           613,625             2,392,576           
2004                6                   1,914,795           658,648             2,573,443           
2004                7                   2,056,847           775,219             2,832,066           
2004                8                   2,027,117           787,356             2,814,473           
2004                9                   1,632,933           607,440             2,240,373           
2004                10                  1,765,162           596,623             2,361,785           
2004                11                  1,707,580           567,054             2,274,634           
2004                12                  1,764,832           623,223             2,388,055           
2004                TOTAL               21,137,175          7,587,497           28,724,672          
2005                1                   1,633,961           697,461             2,331,422           
2005                2                   1,480,980           552,095             2,033,075           
2005                3                   1,777,604           666,990             2,444,594           
2005                4                   1,687,438           650,082             2,337,520           
2005                5                   1,811,268           654,133             2,465,401           
2005                6                   1,909,887           697,296             2,607,183           
2005                7                   2,057,491           835,119             2,892,610           
2005                8                   1,979,801           829,413             2,809,214           
2005                9                   1,686,244           652,519             2,338,763           
2005                10                  1,739,338           615,931             2,355,269           
2005                11                  1,699,355           592,391             2,291,746           
2005                12                  1,712,960           641,685             2,354,645           
