Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,584,391           555,909             2,140,300           
2002                11                  1,522,333           533,949             2,056,282           
2002                12                  1,703,329           630,439             2,333,768           
2002                TOTAL               19,103,142          7,059,489           26,162,631          
2003                1                   1,517,819           579,915             2,097,734           
2003                2                   1,359,793           482,550             1,842,343           
2003                3                   1,596,890           515,048             2,111,938           
2003                4                   1,552,962           445,420             1,998,382           
2003                5                   1,612,036           484,810             2,096,846           
2003                6                   1,786,573           573,697             2,360,270           
2003                7                   1,922,016           639,717             2,561,733           
2003                8                   1,935,574           637,922             2,573,496           
2003                9                   1,442,395           515,078             1,957,473           
2003                10                  1,562,283           534,379             2,096,662           
2003                11                  1,556,539           541,693             2,098,232           
2003                12                  1,689,803           626,792             2,316,595           
2003                TOTAL               19,534,683          6,577,021           26,111,704          
2004                1                   1,507,158           586,736             2,093,894           
2004                2                   1,475,107           519,944             1,995,051           
2004                3                   1,777,029           584,122             2,361,151           
2004                4                   1,813,687           581,303             2,394,990           
2004                5                   1,780,922           634,284             2,415,206           
2004                6                   1,946,516           718,433             2,664,949           
2004                7                   2,074,232           738,176             2,812,408           
2004                8                   2,078,545           721,797             2,800,342           
2004                9                   1,616,600           596,975             2,213,575           
2004                10                  1,741,268           624,616             2,365,884           
2004                11                  1,701,516           588,192             2,289,708           
2004                12                  1,758,657           696,168             2,454,825           
2004                TOTAL               21,271,237          7,590,746           28,861,983          
2005                1                   1,605,493           650,420             2,255,913           
2005                2                   1,467,274           557,626             2,024,900           
2005                3                   1,818,118           676,853             2,494,971           
2005                4                   1,704,464           608,998             2,313,462           
2005                5                   1,798,725           683,410             2,482,135           
2005                6                   1,939,391           754,021             2,693,412           
2005                7                   2,055,964           799,220             2,855,184           
2005                8                   2,033,031           767,810             2,800,841           
2005                9                   1,653,004           645,101             2,298,105           
2005                10                  1,705,441           652,407             2,357,848           
2005                11                  1,694,115           608,694             2,302,809           
2005                12                  1,720,593           722,699             2,443,292           
2005                TOTAL               21,195,613          8,127,259           29,322,872          
2006                1                   1,574,335           664,219             2,238,554           
2006                2                   1,479,124           564,375             2,043,499           
2006                3                   1,801,087           660,461             2,461,548           
2006                4                   1,797,761           645,780             2,443,541           
2006                5                   1,800,739           684,130             2,484,869           
2006                6                   1,947,582           750,862             2,698,444           
2006                7                   2,043,036           767,395             2,810,431           
2006                8                   2,019,472           729,487             2,748,959           
2006                9                   1,621,930           645,273             2,267,203           
2006                10                  1,724,778           625,194             2,349,972           
2006                11                  1,726,812           592,681             2,319,493           
2006                12                  1,786,734           704,989             2,491,723           
2006                TOTAL               21,323,390          8,034,846           29,358,236          
2007                1                   1,607,153           643,785             2,250,938           
2007                2                   1,498,540           568,061             2,066,601           
2007                3                   1,860,164           679,454             2,539,618           
2007                4                   1,826,651           656,073             2,482,724           
2007                5                   1,847,406           697,499             2,544,905           
2007                6                   1,995,580           766,492             2,762,072           
2007                7                   2,087,248           813,278             2,900,526           
2007                8                   2,121,246           783,716             2,904,962           
2007                9                   1,644,719           650,628             2,295,347           
2007                10                  1,753,267           667,827             2,421,094           
2007                11                  1,750,143           644,780             2,394,923           
2007                12                  1,773,523           745,366             2,518,889           
2007                TOTAL               21,765,640          8,316,959           30,082,599          
2008                1                   1,592,544           705,041             2,297,585           
2008                2                   1,532,242           601,655             2,133,897           
2008                3                   1,814,625           700,913             2,515,538           
2008                4                   1,733,686           630,830             2,364,516           
2008                5                   1,829,683           712,002             2,541,685           
2008                6                   1,961,443           773,970             2,735,413           
2008                7                   2,028,005           755,287             2,783,292           
2008                8                   2,022,602           738,906             2,761,508           
2008                9                   1,520,214           603,157             2,123,371           
2008                10                  1,621,964           622,124             2,244,088           
2008                11                  1,498,081           566,725             2,064,806           
2008                12                  1,619,412           638,452             2,257,864           
2008                TOTAL               20,774,501          8,049,062           28,823,563          
2009                1                   1,430,889           585,423             2,016,312           
2009                2                   1,345,676           498,949             1,844,625           
2009                3                   1,660,896           577,821             2,238,717           
2009                4                   1,672,419           581,804             2,254,223           
2009                5                   1,696,267           562,614             2,258,881           
2009                6                   1,855,874           644,777             2,500,651           
2009                7                   1,976,827           717,370             2,694,197           
2009                8                   1,952,178           690,076             2,642,254           
2009                9                   1,584,158           595,756             2,179,914           
2009                10                  1,685,663           629,728             2,315,391           
2009                11                  1,581,536           576,365             2,157,901           
2009                12                  1,682,151           682,927             2,365,078           
2009                TOTAL               20,124,534          7,343,610           27,468,144          
2010                1                   1,536,125           630,506             2,166,631           
2010                2                   1,376,241           542,452             1,918,693           
2010                3                   1,753,492           619,127             2,372,619           
2010                4                   1,726,373           591,192             2,317,565           
2010                5                   1,772,082           653,625             2,425,707           
2010                6                   1,957,415           709,203             2,666,618           
2010                7                   2,033,895           745,650             2,779,545           
2010                8                   2,044,854           697,381             2,742,235           
2010                9                   1,685,182           610,584             2,295,766           
2010                10                  1,796,893           623,355             2,420,248           
2010                11                  1,710,005           590,548             2,300,553           
2010                12                  1,771,068           650,446             2,421,514           
2010                TOTAL               21,163,625          7,664,069           28,827,694          
2011                1                   1,609,702           639,308             2,249,010           
2011                2                   1,474,587           553,811             2,028,398           
2011                3                   1,819,697           636,397             2,456,094           
2011                4                   1,820,448           643,010             2,463,458           
2011                5                   1,928,013           699,183             2,627,196           
2011                6                   2,080,569           744,409             2,824,978           
2011                7                   2,195,514           782,742             2,978,256           
2011                8                   2,164,073           740,679             2,904,752           
2011                9                   1,806,812           665,440             2,472,252           
2011                10                  1,871,127           679,590             2,550,717           
2011                11                  1,804,587           600,549             2,405,136           
2011                12                  1,864,639           680,140             2,544,779           
2011                TOTAL               22,439,768          8,065,258           30,505,026          
2012                1                   1,711,549           671,022             2,382,571           
2012                2                   1,621,215           570,782             2,191,997           
2012                3                   1,949,639           660,016             2,609,655           
2012                4                   1,892,632           648,247             2,540,879           
2012                5                   1,949,002           705,836             2,654,838           
2012                6                   2,102,307           768,084             2,870,391           
2012                7                   2,216,144           797,168             3,013,312           
2012                8                   2,223,302           761,764             2,985,066           
2012                9                   1,807,584           668,794             2,476,378           
2012                10                  1,872,910           687,433             2,560,343           
