Year                Month               DOM                 INTER               TOTAL               
2002                10                  886,637             57,763              944,400             
2002                11                  873,390             50,698              924,088             
2002                12                  922,120             49,746              971,866             
2002                TOTAL               9,710,531           616,892             10,327,423          
2003                1                   756,093             43,488              799,581             
2003                2                   702,998             40,070              743,068             
2003                3                   842,850             45,235              888,085             
2003                4                   885,742             40,189              925,931             
2003                5                   948,222             44,891              993,113             
2003                6                   940,752             49,995              990,747             
2003                7                   970,911             54,413              1,025,324           
2003                8                   986,867             56,004              1,042,871           
2003                9                   844,019             46,475              890,494             
2003                10                  965,410             50,701              1,016,111           
2003                11                  917,795             45,054              962,849             
2003                12                  916,498             42,479              958,977             
2003                TOTAL               10,678,157          558,994             11,237,151          
2004                1                   773,305             37,557              810,862             
2004                2                   822,673             40,335              863,008             
2004                3                   951,519             46,031              997,550             
2004                4                   1,027,659           50,831              1,078,490           
2004                5                   997,081             53,439              1,050,520           
2004                6                   1,021,577           57,746              1,079,323           
2004                7                   999,461             62,335              1,061,796           
2004                8                   1,021,841           69,467              1,091,308           
2004                9                   908,628             59,146              967,774             
2004                10                  1,007,590           69,164              1,076,754           
2004                11                  1,016,681           63,002              1,079,683           
2004                12                  1,017,099           60,916              1,078,015           
2004                TOTAL               11,565,114          669,969             12,235,083          
2005                1                   865,757             55,333              921,090             
2005                2                   852,744             55,752              908,496             
2005                3                   1,062,822           66,522              1,129,344           
2005                4                   1,060,135           64,198              1,124,333           
2005                5                   1,140,363           71,352              1,211,715           
2005                6                   1,076,656           69,884              1,146,540           
2005                7                   1,081,236           73,202              1,154,438           
2005                8                   1,068,877           74,369              1,143,246           
2005                9                   982,488             63,870              1,046,358           
2005                10                  965,734             60,976              1,026,710           
2005                11                  996,070             62,074              1,058,144           
2005                12                  992,347             57,824              1,050,171           
2005                TOTAL               12,145,229          775,356             12,920,585          
2006                1                   894,215             53,292              947,507             
2006                2                   847,736             51,213              898,949             
2006                3                   1,074,786           59,494              1,134,280           
2006                4                   1,082,670           61,332              1,144,002           
2006                5                   1,108,879           62,427              1,171,306           
2006                6                   1,095,620           59,655              1,155,275           
2006                7                   1,070,160           61,855              1,132,015           
2006                8                   1,074,486           69,654              1,144,140           
2006                9                   940,106             60,298              1,000,404           
2006                10                  998,905             57,722              1,056,627           
2006                11                  1,015,899           55,875              1,071,774           
2006                12                  978,251             52,167              1,030,418           
2006                TOTAL               12,181,713          704,984             12,886,697          
2007                1                   865,244             43,510              908,754             
2007                2                   815,562             43,549              859,111             
2007                3                   995,796             49,059              1,044,855           
2007                4                   1,062,741           54,741              1,117,482           
2007                5                   1,088,619           55,384              1,144,003           
2007                6                   1,045,527           54,407              1,099,934           
2007                7                   1,057,001           58,556              1,115,557           
2007                8                   1,111,969           65,665              1,177,634           
2007                9                   937,974             52,740              990,714             
2007                10                  998,309             54,741              1,053,050           
2007                11                  986,006             49,181              1,035,187           
2007                12                  892,154             45,621              937,775             
2007                TOTAL               11,856,902          627,154             12,484,056          
2008                1                   811,426             43,189              854,615             
2008                2                   789,734             45,465              835,199             
2008                3                   967,992             51,234              1,019,226           
2008                4                   956,866             47,875              1,004,741           
2008                5                   1,004,220           50,080              1,054,300           
2008                6                   971,758             47,966              1,019,724           
2008                7                   994,408             49,912              1,044,320           
2008                8                   1,019,248           57,367              1,076,615           
2008                9                   832,870             45,801              878,671             
2008                10                  902,791             48,327              951,118             
2008                11                  804,136             42,185              846,321             
2008                12                  854,628             46,540              901,168             
2008                TOTAL               10,910,077          575,941             11,486,018          
2009                1                   692,491             34,732              727,223             
2009                2                   679,143             36,457              715,600             
2009                3                   840,323             41,522              881,845             
2009                4                   876,507             44,424              920,931             
2009                5                   892,989             40,998              933,987             
2009                6                   915,213             46,403              961,616             
2009                7                   990,809             50,605              1,041,414           
2009                8                   1,008,091           53,451              1,061,542           
2009                9                   902,168             44,199              946,367             
2009                10                  938,414             47,000              985,414             
2009                11                  886,801             39,746              926,547             
2009                12                  891,117             45,126              936,243             
2009                TOTAL               10,514,066          524,663             11,038,729          
2010                1                   767,087             30,379              797,466             
2010                2                   688,373             30,568              718,941             
2010                3                   929,923             41,617              971,540             
2010                4                   1,006,627           45,272              1,051,899           
2010                5                   1,023,023           46,310              1,069,333           
2010                6                   1,019,474           46,846              1,066,320           
2010                7                   1,021,271           48,265              1,069,536           
2010                8                   1,080,719           54,426              1,135,145           
2010                9                   978,353             47,646              1,025,999           
2010                10                  1,022,192           47,678              1,069,870           
2010                11                  981,298             40,923              1,022,221           
2010                12                  888,174             40,570              928,744             
2010                TOTAL               11,406,514          520,500             11,927,014          
2011                1                   778,431             32,751              811,182             
2011                2                   729,098             31,991              761,089             
2011                3                   970,980             37,654              1,008,634           
2011                4                   958,369             39,761              998,130             
2011                5                   1,055,664           47,071              1,102,735           
2011                6                   1,027,695           47,304              1,074,999           
2011                7                   1,034,107           51,800              1,085,907           
2011                8                   1,006,223           53,905              1,060,128           
2011                9                   960,391             49,719              1,010,110           
2011                10                  988,940             50,536              1,039,476           
2011                11                  969,147             41,879              1,011,026           
2011                12                  938,082             45,011              983,093             
2011                TOTAL               11,417,127          529,382             11,946,509          
2012                1                   812,170             35,330              847,500             
2012                2                   790,936             38,432              829,368             
2012                3                   982,831             46,655              1,029,486           
2012                4                   1,043,985           48,555              1,092,540           
2012                5                   1,082,282           52,680              1,134,962           
2012                6                   1,050,414           68,209              1,118,623           
2012                7                   1,076,728           77,617              1,154,345           
2012                8                   1,158,659           90,763              1,249,422           
2012                9                   1,007,648           75,813              1,083,461           
2012                10                  1,000,500           73,991              1,074,491           
2012                11                  977,456             59,644              1,037,100           
2012                12                  1,021,702           64,388              1,086,090           
2012                TOTAL               12,005,311          732,077             12,737,388          
2013                1                   896,764             51,353              948,117             
2013                2                   838,528             52,349              890,877             
2013                3                   1,074,453           66,842              1,141,295           
2013                4                   1,076,671           63,037              1,139,708           
2013                5                   1,124,677           68,387              1,193,064           
2013                6                   1,083,019           77,370              1,160,389           
2013                7                   1,069,909           83,244              1,153,153           
2013                8                   1,140,007           96,881              1,236,888           
2013                9                   998,467             77,219              1,075,686           
2013                10                  1,064,875           80,255              1,145,130           
2013                11                  974,386             65,517              1,039,903           
2013                12                  1,062,054           75,662              1,137,716           
2013                TOTAL               12,403,810          858,116             13,261,926          
2014                1                   866,750             55,826              922,576             
2014                2                   779,633             55,753              835,386             
2014                3                   1,074,450           69,607              1,144,057           
2014                4                   1,098,935           73,188              1,172,123           
2014                5                   1,156,151           78,885              1,235,036           
2014                6                   1,120,759           80,947              1,201,706           
2014                7                   1,104,762           82,237              1,186,999           
2014                8                   1,152,756           94,278              1,247,034           
2014                9                   1,005,069           82,516              1,087,585           
2014                10                  1,087,302           72,901              1,160,203           
2014                11                  1,009,225           65,493              1,074,718           
2014                12                  1,079,478           73,816              1,153,294           
2014                TOTAL               12,535,270          885,447             13,420,717          
2015                1                   862,729             52,709              915,438             
2015                2                   856,442             56,527              912,969             
2015                3                   1,106,586           63,876              1,170,462           
2015                4                   1,151,751           73,408              1,225,159           
2015                5                   1,201,007           81,175              1,282,182           
2015                6                   1,184,530           87,104              1,271,634           
2015                7                   1,214,211           91,979              1,306,190           
2015                8                   1,237,381           97,563              1,334,944           
2015                9                   1,113,430           81,163              1,194,593           
2015                10                  1,197,134           85,048              1,282,182           
2015                11                  1,109,200           67,122              1,176,322           
2015                12                  1,120,284           75,503              1,195,787           
2015                TOTAL               13,354,685          913,177             14,267,862          
2016                1                   965,557             59,082              1,024,639           
2016                2                   944,064             60,242              1,004,306           
2016                3                   1,203,192           73,149              1,276,341           
2016                4                   1,171,136           72,448              1,243,584           
2016                5                   1,287,233           89,528              1,376,761           
2016                6                   1,253,985           89,849              1,343,834           
2016                7                   1,201,688           97,875              1,299,563           
2016                8                   1,204,089           102,849             1,306,938           
2016                9                   1,126,009           94,650              1,220,659           
2016                10                  1,153,067           92,830              1,245,897           
2016                11                  1,150,998           80,098              1,231,096           
2016                12                  1,121,002           82,047              1,203,049           
2016                TOTAL               13,782,020          994,647             14,776,667          
2017                1                   947,279             66,836              1,014,115           
2017                2                   869,027             63,354              932,381             
2017                3                   1,143,201           75,425              1,218,626           
2017                4                   1,142,742           83,246              1,225,988           
2017                5                   1,232,883           91,500              1,324,383           
2017                6                   1,203,338           93,981              1,297,319           
2017                7                   1,167,090           101,841             1,268,931           
2017                8                   1,210,053           107,031             1,317,084           
2017                9                   1,092,687           98,021              1,190,708           
2017                10                  1,214,923           100,801             1,315,724           
2017                11                  1,194,215           90,140              1,284,355           
2017                12                  1,144,635           84,963              1,229,598           
2017                TOTAL               13,562,073          1,057,139           14,619,212          
2018                1                   938,931             69,048              1,007,979           
2018                2                   933,130             71,957              1,005,087           
2018                3                   1,118,854           78,132              1,196,986           
2018                4                   1,218,559           87,427              1,305,986           
2018                5                   1,281,967           101,173             1,383,140           
2018                6                   1,275,987           102,213             1,378,200           
2018                7                   1,228,638           109,390             1,338,028           
2018                8                   1,272,279           114,976             1,387,255           
2018                9                   1,100,503           100,367             1,200,870           
2018                10                  1,211,514           104,762             1,316,276           
2018                11                  1,203,487           92,532              1,296,019           
