Year                Month               DOM                 INTER               TOTAL               
2002                10                  900,610             56,390              957,000             
2002                11                  884,062             52,396              936,458             
2002                12                  942,382             50,864              993,246             
2002                TOTAL               9,760,140           624,087             10,384,227          
2003                1                   768,496             42,741              811,237             
2003                2                   709,180             41,816              750,996             
2003                3                   834,533             46,695              881,228             
2003                4                   893,967             41,118              935,085             
2003                5                   938,076             46,537              984,613             
2003                6                   958,080             51,320              1,009,400           
2003                7                   1,006,841           56,254              1,063,095           
2003                8                   1,008,678           56,638              1,065,316           
2003                9                   810,992             43,655              854,647             
2003                10                  976,285             50,050              1,026,335           
2003                11                  935,615             45,501              981,116             
2003                12                  953,505             43,498              997,003             
2003                TOTAL               10,794,248          565,823             11,360,071          
2004                1                   769,545             35,358              804,903             
2004                2                   826,512             40,191              866,703             
2004                3                   947,447             48,998              996,445             
2004                4                   1,030,478           51,869              1,082,347           
2004                5                   984,105             55,661              1,039,766           
2004                6                   1,021,336           58,930              1,080,266           
2004                7                   1,038,569           64,537              1,103,106           
2004                8                   1,069,012           70,119              1,139,131           
2004                9                   873,189             57,849              931,038             
2004                10                  1,031,534           68,853              1,100,387           
2004                11                  1,012,148           61,801              1,073,949           
2004                12                  1,035,878           62,857              1,098,735           
2004                TOTAL               11,639,753          677,023             12,316,776          
2005                1                   868,025             55,396              923,421             
2005                2                   877,549             56,288              933,837             
2005                3                   1,044,647           69,211              1,113,858           
2005                4                   1,084,323           66,057              1,150,380           
2005                5                   1,086,325           72,543              1,158,868           
2005                6                   1,089,183           72,950              1,162,133           
2005                7                   1,118,318           73,996              1,192,314           
2005                8                   1,108,851           73,021              1,181,872           
2005                9                   945,121             62,067              1,007,188           
2005                10                  971,427             60,845              1,032,272           
2005                11                  1,005,552           64,532              1,070,084           
2005                12                  1,019,433           59,990              1,079,423           
2005                TOTAL               12,218,754          786,896             13,005,650          
2006                1                   889,166             52,351              941,517             
2006                2                   856,042             51,781              907,823             
2006                3                   1,058,283           62,112              1,120,395           
2006                4                   1,078,388           61,775              1,140,163           
2006                5                   1,079,928           64,117              1,144,045           
2006                6                   1,111,257           61,522              1,172,779           
2006                7                   1,103,706           62,574              1,166,280           
2006                8                   1,103,506           69,773              1,173,279           
2006                9                   909,989             58,632              968,621             
2006                10                  1,013,227           56,505              1,069,732           
2006                11                  1,008,155           54,876              1,063,031           
2006                12                  997,736             52,792              1,050,528           
2006                TOTAL               12,209,383          708,810             12,918,193          
2007                1                   870,327             44,210              914,537             
2007                2                   818,658             43,839              862,497             
2007                3                   1,007,872           51,654              1,059,526           
2007                4                   1,033,824           52,340              1,086,164           
2007                5                   1,060,528           56,992              1,117,520           
2007                6                   1,057,646           56,446              1,114,092           
2007                7                   1,096,801           58,191              1,154,992           
2007                8                   1,143,378           63,787              1,207,165           
2007                9                   905,268             52,293              957,561             
2007                10                  1,006,727           53,968              1,060,695           
2007                11                  976,253             47,828              1,024,081           
2007                12                  919,370             45,588              964,958             
2007                TOTAL               11,896,652          627,136             12,523,788          
2008                1                   814,214             45,596              859,810             
2008                2                   798,776             45,476              844,252             
2008                3                   951,548             53,472              1,005,020           
2008                4                   954,223             48,129              1,002,352           
2008                5                   987,206             51,608              1,038,814           
2008                6                   973,233             49,789              1,023,022           
2008                7                   1,045,667           53,011              1,098,678           
2008                8                   1,035,421           55,456              1,090,877           
2008                9                   813,381             45,743              859,124             
2008                10                  910,205             45,596              955,801             
2008                11                  813,225             43,442              856,667             
2008                12                  881,210             45,886              927,096             
2008                TOTAL               10,978,309          583,204             11,561,513          
2009                1                   685,918             36,260              722,178             
2009                2                   680,547             36,115              716,662             
2009                3                   824,146             43,067              867,213             
2009                4                   879,022             43,399              922,421             
2009                5                   877,073             41,575              918,648             
2009                6                   914,185             46,831              961,016             
2009                7                   1,034,808           52,691              1,087,499           
2009                8                   1,033,025           52,745              1,085,770           
2009                9                   865,401             43,710              909,111             
2009                10                  948,857             45,191              994,048             
2009                11                  896,590             41,025              937,615             
2009                12                  911,596             44,833              956,429             
2009                TOTAL               10,551,168          527,442             11,078,610          
2010                1                   753,879             35,073              788,952             
2010                2                   689,459             30,857              720,316             
2010                3                   962,352             44,261              1,006,613           
2010                4                   975,850             44,596              1,020,446           
2010                5                   1,013,093           50,533              1,063,626           
2010                6                   1,015,933           46,900              1,062,833           
2010                7                   1,066,327           51,193              1,117,520           
2010                8                   1,099,737           55,110              1,154,847           
2010                9                   939,885             47,753              987,638             
2010                10                  1,037,748           48,359              1,086,107           
2010                11                  969,356             41,623              1,010,979           
2010                12                  928,146             40,555              968,701             
2010                TOTAL               11,451,765          536,813             11,988,578          
