Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,000,300           71,596              1,071,896           
2002                11                  977,092             59,260              1,036,352           
2002                12                  1,058,336           66,685              1,125,021           
2002                TOTAL               12,137,558          801,125             12,938,683          
2003                1                   968,526             57,903              1,026,429           
2003                2                   976,675             68,511              1,045,186           
2003                3                   1,150,254           74,689              1,224,943           
2003                4                   1,058,770           69,530              1,128,300           
2003                5                   1,001,554           67,196              1,068,750           
2003                6                   1,045,121           61,802              1,106,923           
2003                7                   1,158,372           82,954              1,241,326           
2003                8                   1,061,542           75,615              1,137,157           
2003                9                   791,923             60,370              852,293             
2003                10                  1,095,975           76,617              1,172,592           
2003                11                  1,076,397           70,396              1,146,793           
2003                12                  1,124,664           70,377              1,195,041           
2003                TOTAL               12,509,773          835,960             13,345,733          
2004                1                   1,083,817           67,240              1,151,057           
2004                2                   1,197,559           76,367              1,273,926           
2004                3                   1,349,535           88,271              1,437,806           
2004                4                   1,292,157           85,994              1,378,151           
2004                5                   1,212,449           74,245              1,286,694           
2004                6                   1,266,988           79,983              1,346,971           
2004                7                   1,324,141           97,333              1,421,474           
2004                8                   1,144,235           83,508              1,227,743           
2004                9                   768,445             54,992              823,437             
2004                10                  1,223,952           81,924              1,305,876           
2004                11                  1,201,863           72,628              1,274,491           
2004                12                  1,278,608           79,889              1,358,497           
2004                TOTAL               14,343,749          942,374             15,286,123          
2005                1                   1,240,128           74,687              1,314,815           
2005                2                   1,298,780           82,493              1,381,273           
2005                3                   1,555,571           103,317             1,658,888           
2005                4                   1,321,996           90,666              1,412,662           
2005                5                   1,311,929           80,014              1,391,943           
2005                6                   1,342,847           82,153              1,425,000           
2005                7                   1,406,645           99,266              1,505,911           
2005                8                   1,197,031           84,980              1,282,011           
2005                9                   1,011,578           63,813              1,075,391           
2005                10                  1,243,900           87,518              1,331,418           
2005                11                  1,295,780           80,802              1,376,582           
2005                12                  1,332,553           95,442              1,427,995           
2005                TOTAL               15,558,738          1,025,151           16,583,889          
2006                1                   1,256,122           77,986              1,334,108           
2006                2                   1,281,746           91,222              1,372,968           
2006                3                   1,554,578           106,286             1,660,864           
2006                4                   1,452,184           99,906              1,552,090           
2006                5                   1,371,603           77,034              1,448,637           
2006                6                   1,412,044           74,461              1,486,505           
2006                7                   1,433,347           99,089              1,532,436           
2006                8                   1,267,426           86,371              1,353,797           
2006                9                   1,003,990           61,316              1,065,306           
