Year                Month               DOM                 INTER               TOTAL               
2002                10                  963,671             66,591              1,030,262           
2002                11                  959,769             63,435              1,023,204           
2002                12                  1,008,717           60,632              1,069,349           
2002                TOTAL               12,045,173          786,409             12,831,582          
2003                1                   998,239             61,976              1,060,215           
2003                2                   935,322             59,098              994,420             
2003                3                   1,159,957           75,855              1,235,812           
2003                4                   1,065,512           67,935              1,133,447           
2003                5                   1,036,026           68,163              1,104,189           
2003                6                   1,033,043           36,615              1,069,658           
2003                7                   1,125,936           70,116              1,196,052           
2003                8                   1,110,167           83,520              1,193,687           
2003                9                   798,919             57,066              855,985             
2003                10                  1,044,190           76,689              1,120,879           
2003                11                  1,068,071           76,340              1,144,411           
2003                12                  1,059,379           66,292              1,125,671           
2003                TOTAL               12,434,761          799,665             13,234,426          
2004                1                   1,112,966           72,314              1,185,280           
2004                2                   1,161,765           70,072              1,231,837           
2004                3                   1,342,897           83,322              1,426,219           
2004                4                   1,296,031           86,020              1,382,051           
2004                5                   1,264,246           81,177              1,345,423           
2004                6                   1,229,087           79,517              1,308,604           
2004                7                   1,289,114           86,469              1,375,583           
2004                8                   1,189,465           91,370              1,280,835           
2004                9                   738,756             53,044              791,800             
2004                10                  1,186,499           74,836              1,261,335           
2004                11                  1,213,514           76,715              1,290,229           
2004                12                  1,210,504           73,283              1,283,787           
2004                TOTAL               14,234,844          928,139             15,162,983          
2005                1                   1,280,823           80,603              1,361,426           
2005                2                   1,240,561           75,849              1,316,410           
2005                3                   1,492,942           95,883              1,588,825           
2005                4                   1,384,536           94,383              1,478,919           
2005                5                   1,360,350           85,768              1,446,118           
2005                6                   1,303,170           85,645              1,388,815           
2005                7                   1,384,916           84,386              1,469,302           
2005                8                   1,250,399           94,475              1,344,874           
2005                9                   1,010,012           64,064              1,074,076           
2005                10                  1,218,877           76,814              1,295,691           
2005                11                  1,267,834           86,797              1,354,631           
2005                12                  1,275,942           85,747              1,361,689           
2005                TOTAL               15,470,362          1,010,414           16,480,776          
2006                1                   1,314,135           87,023              1,401,158           
2006                2                   1,212,786           82,374              1,295,160           
2006                3                   1,514,036           98,590              1,612,626           
2006                4                   1,477,298           102,796             1,580,094           
2006                5                   1,423,899           87,656              1,511,555           
2006                6                   1,358,264           77,295              1,435,559           
2006                7                   1,416,149           85,328              1,501,477           
2006                8                   1,300,499           94,972              1,395,471           
2006                9                   1,010,615           65,221              1,075,836           
2006                10                  1,198,474           66,245              1,264,719           
2006                11                  1,242,983           82,823              1,325,806           
2006                12                  1,261,468           86,731              1,348,199           
2006                TOTAL               15,730,606          1,017,054           16,747,660          
2007                1                   1,319,030           87,801              1,406,831           
2007                2                   1,246,576           83,135              1,329,711           
2007                3                   1,512,929           92,315              1,605,244           
2007                4                   1,505,207           101,038             1,606,245           
2007                5                   1,459,008           88,093              1,547,101           
2007                6                   1,429,838           81,566              1,511,404           
2007                7                   1,492,300           87,209              1,579,509           
2007                8                   1,444,745           100,763             1,545,508           
2007                9                   1,100,356           65,901              1,166,257           
2007                10                  1,303,194           76,774              1,379,968           
2007                11                  1,336,309           102,794             1,439,103           
2007                12                  1,332,061           100,806             1,432,867           
2007                TOTAL               16,481,553          1,068,195           17,549,748          
2008                1                   1,383,289           109,239             1,492,528           
2008                2                   1,367,644           108,466             1,476,110           
2008                3                   1,619,419           132,945             1,752,364           
2008                4                   1,500,050           124,496             1,624,546           
2008                5                   1,434,543           102,455             1,536,998           
2008                6                   1,397,859           88,667              1,486,526           
2008                7                   1,440,962           101,798             1,542,760           
2008                8                   1,346,136           120,968             1,467,104           
2008                9                   941,173             78,695              1,019,868           
2008                10                  1,166,661           84,751              1,251,412           
2008                11                  1,147,394           111,995             1,259,389           
2008                12                  1,234,577           110,963             1,345,540           
2008                TOTAL               15,979,707          1,275,438           17,255,145          
2009                1                   1,216,935           121,800             1,338,735           
2009                2                   1,154,517           109,459             1,263,976           
2009                3                   1,443,660           122,562             1,566,222           
2009                4                   1,370,772           136,789             1,507,561           
2009                5                   1,280,923           116,635             1,397,558           
2009                6                   1,285,151           106,673             1,391,824           
2009                7                   1,360,363           121,399             1,481,762           
2009                8                   1,294,854           132,857             1,427,711           
2009                9                   966,668             93,886              1,060,554           
2009                10                  1,153,117           109,856             1,262,973           
2009                11                  1,154,401           126,221             1,280,622           
2009                12                  1,202,474           123,944             1,326,418           
2009                TOTAL               14,883,835          1,422,081           16,305,916          
2010                1                   1,238,257           127,340             1,365,597           
2010                2                   1,122,586           115,707             1,238,293           
2010                3                   1,439,449           131,420             1,570,869           
2010                4                   1,399,838           143,714             1,543,552           
2010                5                   1,304,209           125,472             1,429,681           
2010                6                   1,311,898           121,627             1,433,525           
2010                7                   1,418,428           138,404             1,556,832           
2010                8                   1,326,496           138,761             1,465,257           
2010                9                   1,037,584           106,774             1,144,358           
2010                10                  1,254,938           121,177             1,376,115           
2010                11                  1,283,386           116,142             1,399,528           
2010                12                  1,301,169           130,264             1,431,433           
2010                TOTAL               15,438,238          1,516,802           16,955,040          
2011                1                   1,278,271           133,227             1,411,498           
2011                2                   1,176,605           123,762             1,300,367           
2011                3                   1,513,751           141,111             1,654,862           
2011                4                   1,392,844           152,295             1,545,139           
2011                5                   1,386,114           130,596             1,516,710           
2011                6                   1,318,063           126,694             1,444,757           
2011                7                   1,429,027           142,989             1,572,016           
2011                8                   1,267,673           153,983             1,421,656           
2011                9                   1,043,585           124,406             1,167,991           
2011                10                  1,232,841           138,695             1,371,536           
2011                11                  1,242,164           147,889             1,390,053           
2011                12                  1,256,245           146,531             1,402,776           
2011                TOTAL               15,537,183          1,662,178           17,199,361          
2012                1                   1,248,267           150,135             1,398,402           
2012                2                   1,220,839           140,114             1,360,953           
2012                3                   1,470,741           164,944             1,635,685           
2012                4                   1,412,747           174,258             1,587,005           
2012                5                   1,331,485           145,956             1,477,441           
2012                6                   1,319,435           140,506             1,459,941           
2012                7                   1,369,082           158,729             1,527,811           
2012                8                   1,267,087           167,913             1,435,000           
2012                9                   1,003,314           127,082             1,130,396           
2012                10                  1,170,961           136,119             1,307,080           
2012                11                  1,218,039           156,075             1,374,114           
2012                12                  1,235,144           157,534             1,392,678           
2012                TOTAL               15,267,141          1,819,365           17,086,506          
2013                1                   1,231,937           166,834             1,398,771           
2013                2                   1,157,669           149,718             1,307,387           
2013                3                   1,459,884           173,171             1,633,055           
2013                4                   1,352,095           179,014             1,531,109           
2013                5                   1,309,954           168,308             1,478,262           
2013                6                   1,314,938           143,490             1,458,428           
2013                7                   1,312,466           166,260             1,478,726           
2013                8                   1,242,508           176,439             1,418,947           
2013                9                   974,698             137,278             1,111,976           
2013                10                  1,147,492           142,816             1,290,308           
2013                11                  1,174,545           149,513             1,324,058           
2013                12                  1,261,007           163,135             1,424,142           
2013                TOTAL               14,939,193          1,915,976           16,855,169          
2014                1                   1,223,283           179,168             1,402,451           
2014                2                   1,169,972           145,225             1,315,197           
2014                3                   1,468,562           175,041             1,643,603           
2014                4                   1,306,463           182,595             1,489,058           
2014                5                   1,327,415           185,747             1,513,162           
2014                6                   1,288,270           163,229             1,451,499           
2014                7                   1,324,976           190,387             1,515,363           
2014                8                   1,275,575           209,542             1,485,117           
2014                9                   1,006,580           148,254             1,154,834           
2014                10                  1,188,487           181,609             1,370,096           
2014                11                  1,237,560           166,107             1,403,667           
2014                12                  1,311,291           182,083             1,493,374           
2014                TOTAL               15,128,434          2,108,987           17,237,421          
2015                1                   1,322,561           203,550             1,526,111           
2015                2                   1,235,516           172,698             1,408,214           
2015                3                   1,535,724           196,332             1,732,056           
2015                4                   1,452,470           214,014             1,666,484           
2015                5                   1,390,675           205,172             1,595,847           
2015                6                   1,355,275           187,303             1,542,578           
2015                7                   1,417,909           231,193             1,649,102           
2015                8                   1,338,641           247,390             1,586,031           
2015                9                   1,100,116           192,906             1,293,022           
2015                10                  1,287,968           201,008             1,488,976           
2015                11                  1,388,009           202,202             1,590,211           
2015                12                  1,444,564           220,435             1,664,999           
2015                TOTAL               16,269,428          2,474,203           18,743,631          
2016                1                   1,456,202           233,701             1,689,903           
2016                2                   1,402,743           201,346             1,604,089           
2016                3                   1,662,187           222,176             1,884,363           
2016                4                   1,557,037           233,874             1,790,911           
2016                5                   1,521,874           228,733             1,750,607           
2016                6                   1,478,265           209,203             1,687,468           
2016                7                   1,542,009           255,072             1,797,081           
2016                8                   1,404,696           273,003             1,677,699           
2016                9                   1,211,491           208,169             1,419,660           
2016                10                  1,308,655           212,961             1,521,616           
2016                11                  1,470,414           203,684             1,674,098           
2016                12                  1,528,755           223,027             1,751,782           
2016                TOTAL               17,544,328          2,704,949           20,249,277          
2017                1                   1,563,974           221,666             1,785,640           
2017                2                   1,420,060           193,307             1,613,367           
2017                3                   1,766,804           237,577             2,004,381           
2017                4                   1,686,650           258,029             1,944,679           
2017                5                   1,605,429           242,046             1,847,475           
2017                6                   1,576,336           230,989             1,807,325           
2017                7                   1,687,756           273,046             1,960,802           
2017                8                   1,585,328           283,666             1,868,994           
2017                9                   1,100,168           200,841             1,301,009           
2017                10                  1,505,786           232,134             1,737,920           
2017                11                  1,553,694           224,221             1,777,915           
2017                12                  1,651,008           241,110             1,892,118           
2017                TOTAL               18,702,993          2,838,632           21,541,625          
2018                1                   1,682,828           248,769             1,931,597           
2018                2                   1,534,878           216,920             1,751,798           
2018                3                   1,875,803           265,928             2,141,731           
2018                4                   1,749,579           269,911             2,019,490           
2018                5                   1,724,001           269,368             1,993,369           
2018                6                   1,687,787           262,556             1,950,343           
2018                7                   1,747,586           283,966             2,031,552           
2018                8                   1,613,130           299,199             1,912,329           
2018                9                   1,358,248           226,245             1,584,493           
2018                10                  1,587,641           250,483             1,838,124           
2018                11                  1,683,139           273,435             1,956,574           
2018                12                  1,758,553           298,961             2,057,514           
2018                TOTAL               20,003,173          3,165,741           23,168,914          
2019                1                   1,736,173           290,872             2,027,045           
2019                2                   1,630,173           258,104             1,888,277           
2019                3                   2,004,621           317,439             2,322,060           
2019                4                   1,817,447           305,827             2,123,274           
2019                5                   1,850,133           307,142             2,157,275           
2019                6                   1,781,048           293,843             2,074,891           
2019                7                   1,849,011           322,957             2,171,968           
2019                8                   1,750,283           336,384             2,086,667           
2019                9                   1,291,486           226,264             1,517,750           
2019                10                  1,702,845           246,965             1,949,810           
2019                11                  1,775,773                                                   
2019                12                  1,915,935                                                   
2019                TOTAL               21,104,928          2,905,797           20,319,017          
2020                1                   1,890,191                                                   
2020                TOTAL               1,890,191           0                   0                   
