Year                Month               DOM                 INTER               TOTAL               
2002                10                  545,244             491,530             1,036,774           
2002                11                  600,750             517,606             1,118,356           
2002                12                  720,358             595,866             1,316,224           
2002                TOTAL               7,196,829           6,669,607           13,866,436          
2003                1                   625,662             614,413             1,240,075           
2003                2                   610,296             476,670             1,086,966           
2003                3                   682,967             539,764             1,222,731           
2003                4                   616,840             513,793             1,130,633           
2003                5                   589,435             485,468             1,074,903           
2003                6                   584,246             527,870             1,112,116           
2003                7                   633,957             668,393             1,302,350           
2003                8                   593,211             664,864             1,258,075           
2003                9                   428,950             447,188             876,138             
2003                10                  560,280             482,751             1,043,031           
2003                11                  625,359             527,928             1,153,287           
2003                12                  728,970             593,172             1,322,142           
2003                TOTAL               7,280,173           6,542,274           13,822,447          
2004                1                   635,524             638,687             1,274,211           
2004                2                   658,101             524,532             1,182,633           
2004                3                   729,817             571,585             1,301,402           
2004                4                   687,667             552,720             1,240,387           
2004                5                   622,357             503,852             1,126,209           
2004                6                   618,151             550,483             1,168,634           
2004                7                   671,169             696,075             1,367,244           
2004                8                   589,291             667,257             1,256,548           
2004                9                   387,965             392,361             780,326             
2004                10                  568,175             506,240             1,074,415           
2004                11                  602,726             527,210             1,129,936           
2004                12                  704,033             593,665             1,297,698           
2004                TOTAL               7,474,976           6,724,667           14,199,643          
2005                1                   656,642             655,073             1,311,715           
2005                2                   631,669             525,210             1,156,879           
2005                3                   769,336             639,495             1,408,831           
2005                4                   657,302             547,829             1,205,131           
2005                5                   660,860             527,848             1,188,708           
2005                6                   678,630             583,580             1,262,210           
2005                7                   711,932             721,861             1,433,793           
2005                8                   593,331             640,434             1,233,765           
2005                9                   509,568             467,945             977,513             
2005                10                  523,411             452,801             976,212             
2005                11                  669,557             525,309             1,194,866           
2005                12                  761,390             620,845             1,382,235           
2005                TOTAL               7,823,628           6,908,230           14,731,858          
2006                1                   704,155             657,680             1,361,835           
2006                2                   685,361             524,409             1,209,770           
2006                3                   806,007             616,211             1,422,218           
2006                4                   740,635             607,555             1,348,190           
2006                5                   714,910             544,820             1,259,730           
2006                6                   720,069             598,076             1,318,145           
2006                7                   725,331             721,232             1,446,563           
2006                8                   619,476             662,817             1,282,293           
2006                9                   520,409             497,642             1,018,051           
2006                10                  621,353             523,131             1,144,484           
2006                11                  678,927             557,157             1,236,084           
2006                12                  749,967             633,132             1,383,099           
2006                TOTAL               8,286,600           7,143,862           15,430,462          
2007                1                   706,756             659,611             1,366,367           
2007                2                   687,003             536,494             1,223,497           
2007                3                   803,782             636,437             1,440,219           
2007                4                   728,035             611,587             1,339,622           
2007                5                   722,394             571,988             1,294,382           
2007                6                   719,640             622,623             1,342,263           
2007                7                   743,652             748,576             1,492,228           
2007                8                   693,620             715,586             1,409,206           
2007                9                   579,088             549,069             1,128,157           
2007                10                  673,813             580,163             1,253,976           
2007                11                  704,785             600,568             1,305,353           
2007                12                  744,940             655,757             1,400,697           
2007                TOTAL               8,507,508           7,488,459           15,995,967          
2008                1                   715,245             672,744             1,387,989           
2008                2                   695,925             582,577             1,278,502           
2008                3                   783,752             672,466             1,456,218           
2008                4                   705,034             615,828             1,320,862           
2008                5                   722,708             607,144             1,329,852           
2008                6                   705,546             634,112             1,339,658           
2008                7                   735,949             752,109             1,488,058           
2008                8                   673,857             745,145             1,419,002           
2008                9                   553,977             543,794             1,097,771           
2008                10                  668,213             598,983             1,267,196           
2008                11                  679,101             613,463             1,292,564           
2008                12                  765,480             672,887             1,438,367           
2008                TOTAL               8,404,787           7,711,252           16,116,039          
2009                1                   696,728             682,765             1,379,493           
2009                2                   666,854             559,788             1,226,642           
2009                3                   750,696             622,332             1,373,028           
2009                4                   720,357             643,577             1,363,934           
2009                5                   711,498             566,820             1,278,318           
2009                6                   700,083             610,557             1,310,640           
2009                7                   730,178             750,051             1,480,229           
2009                8                   672,339             741,236             1,413,575           
2009                9                   554,931             532,967             1,087,898           
2009                10                  652,418             597,596             1,250,014           
2009                11                  663,521             597,877             1,261,398           
2009                12                  766,315             679,601             1,445,916           
2009                TOTAL               8,285,918           7,585,167           15,871,085          
2010                1                   704,853             703,658             1,408,511           
2010                2                   658,427             572,715             1,231,142           
2010                3                   789,759             685,540             1,475,299           
2010                4                   719,752             638,445             1,358,197           
2010                5                   742,883             626,499             1,369,382           
2010                6                   725,443             650,289             1,375,732           
2010                7                   752,308             802,565             1,554,873           
2010                8                   696,656             785,347             1,482,003           
2010                9                   605,530             573,388             1,178,918           
2010                10                  711,028             633,058             1,344,086           
2010                11                  727,188             645,273             1,372,461           
2010                12                  822,077             740,193             1,562,270           
2010                TOTAL               8,655,904           8,056,970           16,712,874          
2011                1                   730,386             738,617             1,469,003           
2011                2                   720,298             616,239             1,336,537           
