Year                Month               DOM                 INTER               TOTAL               
2002                10                  523,140             488,316             1,011,456           
2002                11                  577,629             528,580             1,106,209           
2002                12                  634,826             650,330             1,285,156           
2002                TOTAL               7,156,596           6,626,015           13,782,611          
2003                1                   676,466             558,920             1,235,386           
2003                2                   590,231             490,027             1,080,258           
2003                3                   707,601             545,017             1,252,618           
2003                4                   621,626             492,574             1,114,200           
2003                5                   588,555             496,303             1,084,858           
2003                6                   571,548             563,592             1,135,140           
2003                7                   617,312             644,309             1,261,621           
2003                8                   627,893             608,422             1,236,315           
2003                9                   441,528             446,707             888,235             
2003                10                  528,829             484,569             1,013,398           
2003                11                  609,323             541,930             1,151,253           
2003                12                  621,359             673,254             1,294,613           
2003                TOTAL               7,202,271           6,545,624           13,747,895          
2004                1                   702,337             578,449             1,280,786           
2004                2                   647,673             529,683             1,177,356           
2004                3                   747,615             575,695             1,323,310           
2004                4                   698,587             534,891             1,233,478           
2004                5                   626,404             534,267             1,160,671           
2004                6                   613,559             592,335             1,205,894           
2004                7                   651,537             667,966             1,319,503           
2004                8                   628,568             618,936             1,247,504           
2004                9                   408,835             394,521             803,356             
2004                10                  552,169             499,149             1,051,318           
2004                11                  593,764             548,423             1,142,187           
2004                12                  606,305             670,062             1,276,367           
2004                TOTAL               7,477,353           6,744,377           14,221,730          
2005                1                   715,908             610,010             1,325,918           
2005                2                   612,701             528,691             1,141,392           
2005                3                   757,091             637,972             1,395,063           
2005                4                   691,375             528,149             1,219,524           
2005                5                   677,035             566,163             1,243,198           
2005                6                   662,335             621,014             1,283,349           
2005                7                   700,027             682,106             1,382,133           
2005                8                   629,120             602,605             1,231,725           
2005                9                   517,705             482,712             1,000,417           
2005                10                  518,011             460,284             978,295             
2005                11                  637,833             534,014             1,171,847           
2005                12                  677,042             681,705             1,358,747           
2005                TOTAL               7,796,183           6,935,425           14,731,608          
2006                1                   762,968             614,058             1,377,026           
2006                2                   669,832             530,582             1,200,414           
2006                3                   797,568             614,003             1,411,571           
2006                4                   772,233             589,385             1,361,618           
2006                5                   728,119             595,494             1,323,613           
2006                6                   702,380             635,858             1,338,238           
2006                7                   725,682             679,980             1,405,662           
2006                8                   650,481             619,590             1,270,071           
2006                9                   527,786             510,912             1,038,698           
2006                10                  606,633             518,308             1,124,941           
2006                11                  652,569             579,314             1,231,883           
2006                12                  683,029             692,260             1,375,289           
2006                TOTAL               8,279,280           7,179,744           15,459,024          
2007                1                   752,384             624,549             1,376,933           
2007                2                   664,147             548,914             1,213,061           
2007                3                   788,841             634,794             1,423,635           
2007                4                   762,349             598,519             1,360,868           
2007                5                   721,463             615,905             1,337,368           
2007                6                   706,780             664,763             1,371,543           
2007                7                   737,517             728,887             1,466,404           
2007                8                   717,070             685,608             1,402,678           
2007                9                   593,269             555,879             1,149,148           
2007                10                  659,083             585,539             1,244,622           
2007                11                  678,868             620,219             1,299,087           
2007                12                  681,683             708,681             1,390,364           
2007                TOTAL               8,463,454           7,572,257           16,035,711          
2008                1                   756,130             656,110             1,412,240           
2008                2                   675,946             601,105             1,277,051           
2008                3                   790,006             701,687             1,491,693           
2008                4                   724,212             580,197             1,304,409           
2008                5                   721,541             647,731             1,369,272           
2008                6                   688,814             693,022             1,381,836           
2008                7                   714,036             744,081             1,458,117           
2008                8                   711,052             716,326             1,427,378           
2008                9                   564,940             566,100             1,131,040           
2008                10                  639,285             597,623             1,236,908           
2008                11                  666,483             641,542             1,308,025           
2008                12                  686,694             725,929             1,412,623           
2008                TOTAL               8,339,139           7,871,453           16,210,592          
2009                1                   742,497             682,321             1,424,818           
2009                2                   648,064             580,488             1,228,552           
2009                3                   762,226             639,892             1,402,118           
2009                4                   741,959             634,494             1,376,453           
2009                5                   712,551             607,264             1,319,815           
2009                6                   681,128             672,710             1,353,838           
2009                7                   724,223             734,278             1,458,501           
2009                8                   717,696             707,980             1,425,676           
2009                9                   567,048             557,048             1,124,096           
2009                10                  634,960             596,522             1,231,482           
2009                11                  649,315             632,144             1,281,459           
2009                12                  673,632             729,381             1,403,013           
2009                TOTAL               8,255,299           7,774,522           16,029,821          
2010                1                   759,974             691,650             1,451,624           
2010                2                   649,179             591,185             1,240,364           
2010                3                   781,284             671,909             1,453,193           
2010                4                   764,567             640,803             1,405,370           
2010                5                   737,901             662,161             1,400,062           
2010                6                   713,998             702,753             1,416,751           
2010                7                   734,428             777,034             1,511,462           
2010                8                   742,439             738,165             1,480,604           
2010                9                   615,161             588,305             1,203,466           
2010                10                  693,974             633,283             1,327,257           
2010                11                  710,313             664,120             1,374,433           
2010                12                  730,740             752,892             1,483,632           
2010                TOTAL               8,633,958           8,114,260           16,748,218          
2011                1                   801,590             743,600             1,545,190           
2011                2                   693,687             639,981             1,333,668           
2011                3                   820,206             727,786             1,547,992           
2011                4                   783,801             699,675             1,483,476           
2011                5                   794,527             721,925             1,516,452           
2011                6                   757,246             755,183             1,512,429           
2011                7                   816,080             851,158             1,667,238           
2011                8                   773,641             763,720             1,537,361           
2011                9                   646,651             662,889             1,309,540           
2011                10                  717,371             700,758             1,418,129           
2011                11                  751,395             747,069             1,498,464           
2011                12                  777,688             833,750             1,611,438           
2011                TOTAL               9,133,883           8,847,494           17,981,377          
2012                1                   859,317             823,402             1,682,719           
2012                2                   754,892             722,906             1,477,798           
2012                3                   867,495             790,587             1,658,082           
2012                4                   849,458             753,430             1,602,888           
2012                5                   798,428             751,176             1,549,604           
2012                6                   782,753             788,461             1,571,214           
2012                7                   808,468             871,126             1,679,594           
2012                8                   761,745             795,013             1,556,758           
2012                9                   624,991             681,946             1,306,937           
2012                10                  672,441             698,409             1,370,850           
2012                11                  718,311             785,003             1,503,314           
2012                12                  755,257             854,102             1,609,359           
2012                TOTAL               9,253,556           9,315,561           18,569,117          
2013                1                   834,083             850,877             1,684,960           
2013                2                   723,679             762,123             1,485,802           
2013                3                   867,470             839,061             1,706,531           
2013                4                   800,625             779,677             1,580,302           
2013                5                   785,385             817,188             1,602,573           
2013                6                   766,159             844,514             1,610,673           
2013                7                   796,785             913,078             1,709,863           
2013                8                   792,226             861,931             1,654,157           
2013                9                   647,545             702,568             1,350,113           
2013                10                  706,172             746,452             1,452,624           
2013                11                  712,697             780,002             1,492,699           
2013                12                  794,488             930,695             1,725,183           
2013                TOTAL               9,227,314           9,828,166           19,055,480          
2014                1                   843,994             894,467             1,738,461           
2014                2                   741,783             757,139             1,498,922           
2014                3                   889,247             828,811             1,718,058           
2014                4                   824,811             778,736             1,603,547           
2014                5                   825,744             803,170             1,628,914           
2014                6                   776,491             828,078             1,604,569           
2014                7                   812,703             871,276             1,683,979           
2014                8                   795,590             845,899             1,641,489           
2014                9                   635,746             693,421             1,329,167           
2014                10                  708,552             729,666             1,438,218           
2014                11                  730,304             773,723             1,504,027           
2014                12                  810,264             903,193             1,713,457           
2014                TOTAL               9,395,229           9,707,579           19,102,808          
2015                1                   885,039             912,956             1,797,995           
2015                2                   779,188             799,019             1,578,207           
2015                3                   932,449             817,642             1,750,091           
2015                4                   905,409             803,191             1,708,600           
2015                5                   893,294             816,213             1,709,507           
2015                6                   859,897             858,399             1,718,296           
2015                7                   921,411             932,709             1,854,120           
2015                8                   915,764             893,606             1,809,370           
2015                9                   777,752             744,960             1,522,712           
2015                10                  857,871             781,728             1,639,599           
2015                11                  848,228             806,281             1,654,509           
2015                12                  906,727             946,659             1,853,386           
2015                TOTAL               10,483,029          10,113,363          20,596,392          
2016                1                   950,727             919,941             1,870,668           
2016                2                   861,265             779,673             1,640,938           
2016                3                   991,639             850,815             1,842,454           
2016                4                   928,251             753,117             1,681,368           
2016                5                   945,510             805,760             1,751,270           
2016                6                   884,970             830,078             1,715,048           
2016                7                   925,152             924,437             1,849,589           
2016                8                   881,442             865,934             1,747,376           
2016                9                   739,093             719,831             1,458,924           
2016                10                  759,651             738,395             1,498,046           
2016                11                  821,820             793,168             1,614,988           
2016                12                  866,446             968,068             1,834,514           
2016                TOTAL               10,555,966          9,949,217           20,505,183          
2017                1                   916,444             909,324             1,825,768           
2017                2                   795,224             761,296             1,556,520           
2017                3                   954,890             862,812             1,817,702           
2017                4                   917,841             865,570             1,783,411           
2017                5                   909,432             852,611             1,762,043           
2017                6                   857,055             882,807             1,739,862           
2017                7                   907,799             945,468             1,853,267           
2017                8                   881,271             910,841             1,792,112           
2017                9                   535,318             597,340             1,132,658           
2017                10                  814,375             792,405             1,606,780           
2017                11                  849,809             836,389             1,686,198           
2017                12                  900,026             942,352             1,842,378           
2017                TOTAL               10,239,484          10,159,215          20,398,699          
2018                1                   935,756             898,264             1,834,020           
2018                2                   841,312             804,478             1,645,790           
2018                3                   976,344             896,979             1,873,323           
2018                4                   924,995             818,683             1,743,678           
2018                5                   906,020             849,398             1,755,418           
2018                6                   866,105             855,636             1,721,741           
2018                7                   899,018             898,106             1,797,124           
2018                8                   883,051             865,083             1,748,134           
2018                9                   731,275             702,199             1,433,474           
2018                10                  805,392             755,774             1,561,166           
2018                11                  833,342             848,860             1,682,202           
2018                12                  911,448             974,491             1,885,939           
2018                TOTAL               10,514,058          10,167,951          20,682,009          
2019                1                   996,799             943,579             1,940,378           
2019                2                   891,434             848,506             1,739,940           
2019                3                   1,013,273           954,425             1,967,698           
2019                4                   906,630             850,716             1,757,346           
2019                5                   906,629             881,976             1,788,605           
2019                6                   853,103             909,340             1,762,443           
2019                7                   894,805             941,130             1,835,935           
2019                8                   883,661             906,024             1,789,685           
2019                9                   735,527             721,304             1,456,831           
2019                10                  840,908             766,565             1,607,473           
2019                11                  858,450                                                     
2019                12                  996,451                                                     
2019                TOTAL               10,777,670          8,723,565           17,646,334          
2020                1                   1,048,466                                                   
2020                TOTAL               1,048,466           0                   0                   
