Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,139,238           89,891              1,229,129           
2002                11                  1,052,004           70,656              1,122,660           
2002                12                  1,242,779           80,131              1,322,910           
2002                TOTAL               13,974,384          1,053,144           15,027,528          
2003                1                   1,040,053           85,007              1,125,060           
2003                2                   1,041,435           79,222              1,120,657           
2003                3                   1,327,403           90,364              1,417,767           
2003                4                   1,164,394           73,485              1,237,879           
2003                5                   1,191,605           72,682              1,264,287           
2003                6                   1,367,151           90,952              1,458,103           
2003                7                   1,496,897           104,042             1,600,939           
2003                8                   1,443,346           106,740             1,550,086           
2003                9                   1,131,441           87,635              1,219,076           
2003                10                  1,241,850           85,938              1,327,788           
2003                11                  1,134,334           69,849              1,204,183           
2003                12                  1,281,361           75,706              1,357,067           
2003                TOTAL               14,861,270          1,021,622           15,882,892          
2004                1                   1,095,614           84,836              1,180,450           
2004                2                   1,128,887           90,218              1,219,105           
2004                3                   1,402,670           101,025             1,503,695           
2004                4                   1,318,855           94,977              1,413,832           
2004                5                   1,312,921           87,320              1,400,241           
2004                6                   1,542,507           102,813             1,645,320           
2004                7                   1,622,893           114,665             1,737,558           
2004                8                   1,549,445           117,606             1,667,051           
2004                9                   1,229,833           97,933              1,327,766           
2004                10                  1,350,488           100,283             1,450,771           
2004                11                  1,250,980           79,244              1,330,224           
2004                12                  1,325,877           86,991              1,412,868           
2004                TOTAL               16,130,970          1,157,911           17,288,881          
2005                1                   1,165,741           101,361             1,267,102           
2005                2                   1,159,709           100,828             1,260,537           
2005                3                   1,501,777           123,238             1,625,015           
2005                4                   1,370,316           102,311             1,472,627           
2005                5                   1,407,671           90,774              1,498,445           
2005                6                   1,598,422           105,180             1,703,602           
2005                7                   1,689,764           119,960             1,809,724           
2005                8                   1,564,187           117,080             1,681,267           
2005                9                   1,292,463           95,502              1,387,965           
2005                10                  1,331,272           92,354              1,423,626           
2005                11                  1,221,765           70,870              1,292,635           
2005                12                  1,288,437           73,908              1,362,345           
2005                TOTAL               16,591,524          1,193,366           17,784,890          
2006                1                   1,139,795           86,149              1,225,944           
2006                2                   1,120,676           87,776              1,208,452           
2006                3                   1,407,589           118,340             1,525,929           
2006                4                   1,343,689           110,935             1,454,624           
2006                5                   1,365,869           90,457              1,456,326           
2006                6                   1,474,186           100,220             1,574,406           
2006                7                   1,521,122           111,571             1,632,693           
2006                8                   1,460,058           108,987             1,569,045           
2006                9                   1,217,510           93,147              1,310,657           
2006                10                  1,309,589           90,374              1,399,963           
2006                11                  1,241,818           77,084              1,318,902           
2006                12                  1,294,478           84,921              1,379,399           
2006                TOTAL               15,896,379          1,159,961           17,056,340          
2007                1                   1,143,583           104,330             1,247,913           
2007                2                   1,111,635           107,140             1,218,775           
2007                3                   1,369,999           141,198             1,511,197           
2007                4                   1,351,487           112,419             1,463,906           
