Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,176,919           87,993              1,264,912           
2002                11                  1,062,035           71,891              1,133,926           
2002                12                  1,241,626           84,281              1,325,907           
2002                TOTAL               13,982,501          1,051,448           15,033,949          
2003                1                   1,064,645           79,500              1,144,145           
2003                2                   1,056,850           78,042              1,134,892           
2003                3                   1,328,275           90,743              1,419,018           
2003                4                   1,112,681           69,409              1,182,090           
2003                5                   1,172,952           79,142              1,252,094           
2003                6                   1,353,986           95,297              1,449,283           
2003                7                   1,490,512           103,024             1,593,536           
2003                8                   1,443,695           103,193             1,546,888           
2003                9                   1,142,623           83,950              1,226,573           
2003                10                  1,253,719           82,317              1,336,036           
2003                11                  1,141,946           70,535              1,212,481           
2003                12                  1,283,978           80,744              1,364,722           
2003                TOTAL               14,845,862          1,015,896           15,861,758          
2004                1                   1,119,671           80,771              1,200,442           
2004                2                   1,136,133           91,967              1,228,100           
2004                3                   1,425,957           103,047             1,529,004           
2004                4                   1,252,800           89,948              1,342,748           
2004                5                   1,282,050           97,619              1,379,669           
2004                6                   1,525,446           108,159             1,633,605           
2004                7                   1,613,510           114,199             1,727,709           
2004                8                   1,553,693           111,493             1,665,186           
2004                9                   1,238,817           98,319              1,337,136           
2004                10                  1,353,061           97,047              1,450,108           
2004                11                  1,255,254           80,186              1,335,440           
2004                12                  1,333,535           92,687              1,426,222           
2004                TOTAL               16,089,927          1,165,442           17,255,369          
2005                1                   1,179,892           96,993              1,276,885           
2005                2                   1,173,537           102,686             1,276,223           
2005                3                   1,511,720           121,870             1,633,590           
2005                4                   1,319,640           97,932              1,417,572           
2005                5                   1,379,097           100,530             1,479,627           
2005                6                   1,576,651           111,381             1,688,032           
2005                7                   1,686,350           116,922             1,803,272           
2005                8                   1,565,385           110,598             1,675,983           
2005                9                   1,302,162           97,730              1,399,892           
2005                10                  1,333,752           90,519              1,424,271           
2005                11                  1,228,048           71,178              1,299,226           
2005                12                  1,293,692           77,954              1,371,646           
2005                TOTAL               16,549,926          1,196,293           17,746,219          
2006                1                   1,156,693           87,300              1,243,993           
2006                2                   1,128,655           88,376              1,217,031           
2006                3                   1,441,331           122,943             1,564,274           
2006                4                   1,273,130           100,056             1,373,186           
2006                5                   1,338,214           98,654              1,436,868           
2006                6                   1,459,121           102,778             1,561,899           
2006                7                   1,516,619           107,377             1,623,996           
2006                8                   1,463,407           105,597             1,569,004           
2006                9                   1,219,020           90,900              1,309,920           
2006                10                  1,318,999           87,628              1,406,627           
2006                11                  1,256,717           75,900              1,332,617           
2006                12                  1,291,011           88,810              1,379,821           
2006                TOTAL               15,862,917          1,156,319           17,019,236          
2007                1                   1,168,539           102,983             1,271,522           
2007                2                   1,125,777           109,197             1,234,974           
2007                3                   1,405,167           144,144             1,549,311           
2007                4                   1,270,120           96,731              1,366,851           
2007                5                   1,334,470           94,230              1,428,700           
2007                6                   1,421,756           100,805             1,522,561           
2007                7                   1,488,823           101,788             1,590,611           
2007                8                   1,444,369           101,816             1,546,185           
2007                9                   1,196,406           91,150              1,287,556           
2007                10                  1,293,596           89,042              1,382,638           
2007                11                  1,243,373           84,599              1,327,972           
2007                12                  1,247,936           98,147              1,346,083           
2007                TOTAL               15,640,332          1,214,632           16,854,964          
2008                1                   1,178,709           110,385             1,289,094           
2008                2                   1,167,149           126,807             1,293,956           
2008                3                   1,389,000           156,945             1,545,945           
2008                4                   1,224,795           99,099              1,323,894           
2008                5                   1,290,240           107,013             1,397,253           
2008                6                   1,391,749           108,347             1,500,096           
2008                7                   1,461,833           110,255             1,572,088           
2008                8                   1,366,455           110,746             1,477,201           
2008                9                   1,130,485           92,349              1,222,834           
2008                10                  1,201,643           84,291              1,285,934           
2008                11                  1,073,396           71,837              1,145,233           
2008                12                  1,173,735           88,577              1,262,312           
2008                TOTAL               15,049,189          1,266,651           16,315,840          
2009                1                   1,046,294           106,346             1,152,640           
2009                2                   1,027,263           113,192             1,140,455           
2009                3                   1,295,015           131,112             1,426,127           
2009                4                   1,159,852           92,408              1,252,260           
2009                5                   1,205,801           85,007              1,290,808           
2009                6                   1,391,201           93,596              1,484,797           
2009                7                   1,506,966           101,050             1,608,016           
2009                8                   1,395,016           96,095              1,491,111           
2009                9                   1,106,408           75,671              1,182,079           
2009                10                  1,134,695           72,800              1,207,495           
2009                11                  1,041,930           62,806              1,104,736           
2009                12                  1,098,521           75,141              1,173,662           
2009                TOTAL               14,408,962          1,105,224           15,514,186          
2010                1                   1,015,067           91,692              1,106,759           
2010                2                   986,381             102,009             1,088,390           
2010                3                   1,293,097           125,874             1,418,971           
2010                4                   1,106,594           79,950              1,186,544           
2010                5                   1,172,990           92,122              1,265,112           
2010                6                   1,342,023           99,675              1,441,698           
2010                7                   1,438,239           104,651             1,542,890           
2010                8                   1,399,260           98,802              1,498,062           
2010                9                   1,171,532           90,042              1,261,574           
2010                10                  1,228,377           88,691              1,317,068           
2010                11                  1,098,529           74,255              1,172,784           
