Year                Month               DOM                 INTER               TOTAL               
2002                10                  866,155             110,020             976,175             
2002                11                  819,233             101,695             920,928             
2002                12                  883,059             106,630             989,689             
2002                TOTAL               9,687,052           1,341,888           11,028,940          
2003                1                   724,003             106,532             830,535             
2003                2                   671,534             88,208              759,742             
2003                3                   869,248             122,423             991,671             
2003                4                   871,437             112,331             983,768             
2003                5                   885,218             116,990             1,002,208           
2003                6                   930,408             144,923             1,075,331           
2003                7                   993,016             157,090             1,150,106           
2003                8                   988,266             166,660             1,154,926           
2003                9                   768,320             127,607             895,927             
2003                10                  899,727             134,666             1,034,393           
2003                11                  857,164             119,240             976,404             
2003                12                  861,644             119,757             981,401             
2003                TOTAL               10,319,985          1,516,427           11,836,412          
2004                1                   757,836             125,156             882,992             
2004                2                   783,117             120,495             903,612             
2004                3                   955,871             154,456             1,110,327           
2004                4                   974,117             149,258             1,123,375           
2004                5                   1,001,138           154,033             1,155,171           
2004                6                   1,073,250           168,763             1,242,013           
2004                7                   1,149,634           188,091             1,337,725           
2004                8                   1,141,615           187,199             1,328,814           
2004                9                   915,716             129,008             1,044,724           
2004                10                  1,099,812           143,183             1,242,995           
2004                11                  1,120,772           128,630             1,249,402           
2004                12                  1,075,381           126,741             1,202,122           
2004                TOTAL               12,048,259          1,775,013           13,823,272          
2005                1                   968,176             133,924             1,102,100           
2005                2                   964,677             119,956             1,084,633           
2005                3                   1,256,356           159,976             1,416,332           
2005                4                   1,180,957           155,425             1,336,382           
2005                5                   1,245,055           158,873             1,403,928           
2005                6                   1,230,806           178,544             1,409,350           
2005                7                   1,257,307           203,107             1,460,414           
2005                8                   1,227,656           189,356             1,417,012           
2005                9                   1,037,679           147,792             1,185,471           
2005                10                  1,105,168           150,604             1,255,772           
2005                11                  1,090,710           118,283             1,208,993           
2005                12                  1,018,963           112,269             1,131,232           
2005                TOTAL               13,583,510          1,828,109           15,411,619          
2006                1                   934,322             112,603             1,046,925           
2006                2                   945,527             105,191             1,050,718           
2006                3                   1,220,211           139,991             1,360,202           
2006                4                   1,211,169           148,439             1,359,608           
2006                5                   1,262,797           145,378             1,408,175           
2006                6                   1,237,235           173,926             1,411,161           
2006                7                   1,282,395           202,039             1,484,434           
2006                8                   1,261,711           187,598             1,449,309           
2006                9                   1,027,633           151,574             1,179,207           
2006                10                  1,144,621           144,040             1,288,661           
2006                11                  1,124,407           114,380             1,238,787           
2006                12                  1,059,032           115,388             1,174,420           
2006                TOTAL               13,711,060          1,740,547           15,451,607          
2007                1                   990,793             111,744             1,102,537           
2007                2                   937,780             99,947              1,037,727           
2007                3                   1,177,868           134,956             1,312,824           
2007                4                   1,228,437           142,366             1,370,803           
2007                5                   1,267,358           149,351             1,416,709           
2007                6                   1,264,584           185,124             1,449,708           
2007                7                   1,306,758           216,454             1,523,212           
2007                8                   1,321,742           200,226             1,521,968           
2007                9                   1,100,948           156,844             1,257,792           
2007                10                  1,183,883           147,464             1,331,347           
2007                11                  1,128,133           119,473             1,247,606           
2007                12                  1,027,445           126,268             1,153,713           
2007                TOTAL               13,935,729          1,790,217           15,725,946          
2008                1                   999,981             120,019             1,120,000           
2008                2                   991,315             113,679             1,104,994           
2008                3                   1,242,583           156,900             1,399,483           
2008                4                   1,189,557           150,380             1,339,937           
2008                5                   1,229,076           166,157             1,395,233           
2008                6                   1,264,879           187,586             1,452,465           
2008                7                   1,305,019           210,874             1,515,893           
2008                8                   1,308,933           204,109             1,513,042           
2008                9                   1,049,111           149,816             1,198,927           
2008                10                  1,171,316           141,479             1,312,795           
2008                11                  1,019,629           109,331             1,128,960           
2008                12                  1,039,978           123,271             1,163,249           
2008                TOTAL               13,811,377          1,833,601           15,644,978          
2009                1                   934,268             120,782             1,055,050           
2009                2                   895,105             109,140             1,004,245           
2009                3                   1,143,292           145,298             1,288,590           
2009                4                   1,139,716           157,591             1,297,307           
2009                5                   1,161,174           154,818             1,315,992           
2009                6                   1,194,860           184,646             1,379,506           
2009                7                   1,276,782           218,568             1,495,350           
2009                8                   1,243,734           214,479             1,458,213           
2009                9                   1,049,365           163,873             1,213,238           
2009                10                  1,137,020           141,983             1,279,003           
2009                11                  1,046,598           115,160             1,161,758           
2009                12                  995,337             114,382             1,109,719           
2009                TOTAL               13,217,251          1,840,720           15,057,971          
2010                1                   944,581             124,140             1,068,721           
2010                2                   786,905             102,121             889,026             
2010                3                   1,122,465           149,730             1,272,195           
2010                4                   1,138,791           150,429             1,289,220           
2010                5                   1,160,836           167,476             1,328,312           
2010                6                   1,184,493           186,539             1,371,032           
2010                7                   1,216,187           214,395             1,430,582           
2010                8                   1,238,524           204,180             1,442,704           
2010                9                   1,081,241           164,891             1,246,132           
2010                10                  1,161,696           158,861             1,320,557           
2010                11                  1,097,514           122,457             1,219,971           
2010                12                  1,038,206           126,555             1,164,761           
2010                TOTAL               13,171,439          1,871,774           15,043,213          
