Year                Month               DOM                 INTER               TOTAL               
2002                10                  869,043             105,740             974,783             
2002                11                  818,717             108,680             927,397             
2002                12                  890,226             113,561             1,003,787           
2002                TOTAL               9,623,021           1,351,779           10,974,800          
2003                1                   729,478             103,022             832,500             
2003                2                   674,490             90,885              765,375             
2003                3                   852,594             124,160             976,754             
2003                4                   863,681             109,323             973,004             
2003                5                   866,652             131,558             998,210             
2003                6                   922,004             153,858             1,075,862           
2003                7                   1,003,240           143,702             1,146,942           
2003                8                   981,047             153,981             1,135,028           
2003                9                   756,737             128,236             884,973             
2003                10                  913,406             126,675             1,040,081           
2003                11                  853,069             121,030             974,099             
2003                12                  880,721             128,952             1,009,673           
2003                TOTAL               10,297,119          1,515,382           11,812,501          
2004                1                   747,234             121,359             868,593             
2004                2                   786,611             123,183             909,794             
2004                3                   929,472             154,961             1,084,433           
2004                4                   973,927             147,280             1,121,207           
2004                5                   979,927             167,776             1,147,703           
2004                6                   1,083,519           175,349             1,258,868           
2004                7                   1,162,714           174,425             1,337,139           
2004                8                   1,130,646           173,612             1,304,258           
2004                9                   897,786             136,435             1,034,221           
2004                10                  1,113,228           135,924             1,249,152           
2004                11                  1,107,020           130,328             1,237,348           
2004                12                  1,093,551           135,390             1,228,941           
2004                TOTAL               12,005,635          1,776,022           13,781,657          
2005                1                   961,496             130,059             1,091,555           
2005                2                   966,512             119,692             1,086,204           
2005                3                   1,265,220           163,122             1,428,342           
2005                4                   1,153,002           153,037             1,306,039           
2005                5                   1,209,905           171,756             1,381,661           
2005                6                   1,249,474           184,091             1,433,565           
2005                7                   1,267,194           181,477             1,448,671           
2005                8                   1,215,200           178,416             1,393,616           
2005                9                   1,014,829           155,681             1,170,510           
2005                10                  1,110,106           141,841             1,251,947           
2005                11                  1,088,945           118,098             1,207,043           
2005                12                  1,033,071           119,662             1,152,733           
2005                TOTAL               13,534,954          1,816,932           15,351,886          
2006                1                   929,496             112,196             1,041,692           
2006                2                   946,689             107,336             1,054,025           
2006                3                   1,204,227           147,824             1,352,051           
2006                4                   1,197,681           138,495             1,336,176           
2006                5                   1,224,831           165,396             1,390,227           
2006                6                   1,249,608           191,444             1,441,052           
2006                7                   1,279,454           178,866             1,458,320           
2006                8                   1,263,142           172,718             1,435,860           
2006                9                   1,006,878           157,847             1,164,725           
2006                10                  1,153,215           132,071             1,285,286           
2006                11                  1,122,789           116,598             1,239,387           
2006                12                  1,061,948           120,785             1,182,733           
2006                TOTAL               13,639,958          1,741,576           15,381,534          
2007                1                   994,247             109,975             1,104,222           
2007                2                   941,986             102,004             1,043,990           
2007                3                   1,188,099           141,366             1,329,465           
2007                4                   1,187,683           139,427             1,327,110           
2007                5                   1,229,075           169,229             1,398,304           
2007                6                   1,266,248           200,634             1,466,882           
2007                7                   1,311,283           192,344             1,503,627           
2007                8                   1,321,898           185,395             1,507,293           
