Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,427,986           37,582              1,465,568           
2002                11                  1,356,646           44,405              1,401,051           
2002                12                  1,489,749           54,960              1,544,709           
2002                TOTAL               15,843,372          537,226             16,380,598          
2003                1                   1,318,446           60,017              1,378,463           
2003                2                   1,316,164           56,732              1,372,896           
2003                3                   1,596,779           62,654              1,659,433           
2003                4                   1,446,101           52,653              1,498,754           
2003                5                   1,488,189           47,281              1,535,470           
2003                6                   1,530,887           54,788              1,585,675           
2003                7                   1,615,329           61,550              1,676,879           
2003                8                   1,538,288           56,046              1,594,334           
2003                9                   1,312,199           41,173              1,353,372           
2003                10                  1,465,971           45,857              1,511,828           
2003                11                  1,398,488           53,498              1,451,986           
2003                12                  1,482,107           58,838              1,540,945           
2003                TOTAL               17,508,948          651,087             18,160,035          
2004                1                   1,371,543           67,038              1,438,581           
2004                2                   1,405,338           60,919              1,466,257           
2004                3                   1,694,507           67,372              1,761,879           
2004                4                   1,546,090           64,389              1,610,479           
2004                5                   1,513,165           57,331              1,570,496           
2004                6                   1,588,392           60,554              1,648,946           
2004                7                   1,684,699           68,088              1,752,787           
2004                8                   1,599,552           64,686              1,664,238           
2004                9                   1,428,766           50,637              1,479,403           
2004                10                  1,605,374           61,121              1,666,495           
2004                11                  1,533,556           61,995              1,595,551           
2004                12                  1,576,840           69,055              1,645,895           
2004                TOTAL               18,547,822          753,185             19,301,007          
2005                1                   1,467,452           78,591              1,546,043           
2005                2                   1,428,135           70,228              1,498,363           
2005                3                   1,804,231           81,269              1,885,500           
2005                4                   1,585,741           72,133              1,657,874           
2005                5                   1,654,175           69,413              1,723,588           
2005                6                   1,671,425           69,286              1,740,711           
2005                7                   1,761,185           78,613              1,839,798           
2005                8                   1,673,515           73,764              1,747,279           
2005                9                   1,489,728           59,429              1,549,157           
2005                10                  1,641,377           72,392              1,713,769           
2005                11                  1,608,473           70,550              1,679,023           
2005                12                  1,627,910           76,631              1,704,541           
2005                TOTAL               19,413,347          872,299             20,285,646          
2006                1                   1,559,102           82,873              1,641,975           
2006                2                   1,493,980           73,474              1,567,454           
2006                3                   1,838,732           85,243              1,923,975           
2006                4                   1,650,495           79,341              1,729,836           
2006                5                   1,667,201           69,462              1,736,663           
2006                6                   1,700,471           63,490              1,763,961           
2006                7                   1,778,046           73,714              1,851,760           
2006                8                   1,670,911           66,208              1,737,119           
2006                9                   1,469,623           59,543              1,529,166           
2006                10                  1,655,980           62,755              1,718,735           
2006                11                  1,623,077           71,264              1,694,341           
2006                12                  1,602,365           73,445              1,675,810           
2006                TOTAL               19,709,983          860,812             20,570,795          
2007                1                   1,584,798           82,002              1,666,800           
2007                2                   1,504,155           73,134              1,577,289           
2007                3                   1,875,836           85,418              1,961,254           
2007                4                   1,677,837           77,873              1,755,710           
2007                5                   1,716,238           67,120              1,783,358           
2007                6                   1,722,188           67,236              1,789,424           
2007                7                   1,793,641           71,219              1,864,860           
2007                8                   1,739,311           68,307              1,807,618           
2007                9                   1,504,668           53,357              1,558,025           
2007                10                  1,659,000           61,842              1,720,842           
2007                11                  1,576,389           73,865              1,650,254           
2007                12                  1,568,406           78,831              1,647,237           
2007                TOTAL               19,922,467          860,204             20,782,671          
2008                1                   1,534,368           89,252              1,623,620           
2008                2                   1,523,061           83,356              1,606,417           
2008                3                   1,796,648           97,149              1,893,797           
2008                4                   1,582,423           82,978              1,665,401           
2008                5                   1,590,061           74,454              1,664,515           
2008                6                   1,588,945           68,725              1,657,670           
2008                7                   1,643,783           70,046              1,713,829           
2008                8                   1,561,751           68,837              1,630,588           
2008                9                   1,367,116           49,459              1,416,575           
2008                10                  1,507,229           61,551              1,568,780           
2008                11                  1,384,177           73,678              1,457,855           
2008                12                  1,483,831           79,302              1,563,133           
2008                TOTAL               18,563,393          898,787             19,462,180          
2009                1                   1,383,745           100,327             1,484,072           
2009                2                   1,314,646           92,108              1,406,754           
2009                3                   1,629,250           107,058             1,736,308           
2009                4                   1,501,369           91,921              1,593,290           
2009                5                   1,458,992           59,883              1,518,875           
2009                6                   1,493,036           56,815              1,549,851           
2009                7                   1,578,872           65,368              1,644,240           
2009                8                   1,507,859           66,238              1,574,097           
2009                9                   1,348,183           49,259              1,397,442           
2009                10                  1,513,923           65,591              1,579,514           
2009                11                  1,421,413           76,248              1,497,661           
2009                12                  1,505,480           89,142              1,594,622           
2009                TOTAL               17,656,768          919,958             18,576,726          
2010                1                   1,394,054           103,376             1,497,430           
2010                2                   1,342,965           99,345              1,442,310           
2010                3                   1,686,511           112,273             1,798,784           
2010                4                   1,472,835           102,253             1,575,088           
2010                5                   1,494,137           82,242              1,576,379           
2010                6                   1,519,563           77,011              1,596,574           
2010                7                   1,540,558           84,268              1,624,826           
2010                8                   1,462,737           82,765              1,545,502           
2010                9                   1,363,617           59,679              1,423,296           
2010                10                  1,533,679           78,514              1,612,193           
2010                11                  1,475,665           79,455              1,555,120           
2010                12                  1,545,488           95,349              1,640,837           
2010                TOTAL               17,831,809          1,056,530           18,888,339          
2011                1                   1,483,606           110,006             1,593,612           
2011                2                   1,371,949           100,593             1,472,542           
2011                3                   1,739,845           112,891             1,852,736           
2011                4                   1,536,994           106,872             1,643,866           
2011                5                   1,598,583           84,675              1,683,258           
2011                6                   1,624,102           77,668              1,701,770           
2011                7                   1,678,888           94,491              1,773,379           
2011                8                   1,562,730           87,688              1,650,418           
2011                9                   1,425,403           60,629              1,486,032           
2011                10                  1,552,546           77,961              1,630,507           
2011                11                  1,512,356           94,773              1,607,129           
2011                12                  1,549,530           105,586             1,655,116           
2011                TOTAL               18,636,532          1,113,833           19,750,365          
2012                1                   1,456,555           111,740             1,568,295           
2012                2                   1,437,072           107,357             1,544,429           
2012                3                   1,759,625           121,333             1,880,958           
2012                4                   1,484,357           107,984             1,592,341           
2012                5                   1,553,264           82,199              1,635,463           
2012                6                   1,586,634           73,448              1,660,082           
2012                7                   1,658,039           88,033              1,746,072           
2012                8                   1,559,990           82,349              1,642,339           
2012                9                   1,371,208           60,794              1,432,002           
2012                10                  1,556,238           80,925              1,637,163           
2012                11                  1,501,783           97,540              1,599,323           
2012                12                  1,499,908           105,191             1,605,099           
2012                TOTAL               18,424,673          1,118,893           19,543,566          
2013                1                   1,461,174           113,782             1,574,956           
2013                2                   1,467,304           106,285             1,573,589           
2013                3                   1,747,844           124,114             1,871,958           
2013                4                   1,481,886           105,524             1,587,410           
2013                5                   1,555,480           89,201              1,644,681           
2013                6                   1,582,815           76,242              1,659,057           
2013                7                   1,606,381           84,140              1,690,521           
2013                8                   1,522,799           75,250              1,598,049           
2013                9                   1,384,421           52,078              1,436,499           
2013                10                  1,534,503           75,726              1,610,229           
2013                11                  1,465,190           97,990              1,563,180           
2013                12                  1,601,698           109,529             1,711,227           
2013                TOTAL               18,411,495          1,109,861           19,521,356          
2014                1                   1,521,921           117,220             1,639,141           
2014                2                   1,434,034           107,981             1,542,015           
2014                3                   1,821,705           128,537             1,950,242           
2014                4                   1,570,708           108,001             1,678,709           
2014                5                   1,608,633           84,059              1,692,692           
2014                6                   1,632,961           76,476              1,709,437           
2014                7                   1,705,350           87,289              1,792,639           
2014                8                   1,598,987           80,598              1,679,585           
2014                9                   1,409,842           49,671              1,459,513           
2014                10                  1,636,598           81,308              1,717,906           
2014                11                  1,576,624           99,542              1,676,166           
2014                12                  1,705,988           112,420             1,818,408           
2014                TOTAL               19,223,351          1,133,102           20,356,453          
2015                1                   1,588,595           126,016             1,714,611           
2015                2                   1,481,674           110,870             1,592,544           
2015                3                   1,934,200           140,335             2,074,535           
2015                4                   1,666,988           109,215             1,776,203           
2015                5                   1,688,444           82,264              1,770,708           
2015                6                   1,723,549           78,246              1,801,795           
2015                7                   1,822,670           88,016              1,910,686           
2015                8                   1,719,562           80,642              1,800,204           
2015                9                   1,520,777           54,363              1,575,140           
2015                10                  1,742,730           80,563              1,823,293           
2015                11                  1,620,484           95,594              1,716,078           
2015                12                  1,704,834           102,723             1,807,557           
2015                TOTAL               20,214,507          1,148,847           21,363,354          
2016                1                   1,612,380           111,270             1,723,650           
2016                2                   1,535,831           108,751             1,644,582           
2016                3                   1,913,493           125,482             2,038,975           
2016                4                   1,641,098           98,140              1,739,238           
2016                5                   1,686,156           70,552              1,756,708           
