Year                Month               DOM                 INTER               TOTAL               
2002                10                  1,407,732           39,883              1,447,615           
2002                11                  1,345,740           47,177              1,392,917           
2002                12                  1,474,411           61,008              1,535,419           
2002                TOTAL               15,887,686          541,596             16,429,282          
2003                1                   1,324,980           55,511              1,380,491           
2003                2                   1,290,730           56,043              1,346,773           
2003                3                   1,625,383           63,710              1,689,093           
2003                4                   1,497,358           52,848              1,550,206           
2003                5                   1,544,961           53,034              1,597,995           
2003                6                   1,562,760           62,336              1,625,096           
2003                7                   1,617,886           57,049              1,674,935           
2003                8                   1,512,909           52,831              1,565,740           
2003                9                   1,287,683           39,447              1,327,130           
2003                10                  1,407,743           48,210              1,455,953           
2003                11                  1,403,941           56,388              1,460,329           
2003                12                  1,457,231           65,186              1,522,417           
2003                TOTAL               17,533,565          662,593             18,196,158          
2004                1                   1,363,324           62,726              1,426,050           
2004                2                   1,399,904           59,949              1,459,853           
2004                3                   1,684,903           68,195              1,753,098           
2004                4                   1,592,211           65,231              1,657,442           
2004                5                   1,566,207           61,754              1,627,961           
2004                6                   1,619,660           64,621              1,684,281           
2004                7                   1,681,860           66,429              1,748,289           
2004                8                   1,562,070           60,950              1,623,020           
2004                9                   1,415,858           50,979              1,466,837           
2004                10                  1,583,922           60,179              1,644,101           
2004                11                  1,530,969           62,742              1,593,711           
2004                12                  1,554,145           72,548              1,626,693           
2004                TOTAL               18,555,033          756,303             19,311,336          
2005                1                   1,460,509           72,428              1,532,937           
2005                2                   1,412,006           69,035              1,481,041           
2005                3                   1,762,324           80,202              1,842,526           
2005                4                   1,671,462           72,825              1,744,287           
2005                5                   1,708,214           74,679              1,782,893           
2005                6                   1,704,932           74,587              1,779,519           
2005                7                   1,752,696           76,213              1,828,909           
2005                8                   1,635,911           67,831              1,703,742           
2005                9                   1,479,313           58,832              1,538,145           
2005                10                  1,614,379           72,240              1,686,619           
2005                11                  1,609,804           70,336              1,680,140           
2005                12                  1,605,146           81,045              1,686,191           
2005                TOTAL               19,416,696          870,253             20,286,949          
2006                1                   1,553,139           77,995              1,631,134           
2006                2                   1,477,726           73,005              1,550,731           
2006                3                   1,809,795           86,978              1,896,773           
2006                4                   1,717,340           85,081              1,802,421           
2006                5                   1,723,519           75,453              1,798,972           
2006                6                   1,742,990           70,772              1,813,762           
2006                7                   1,750,908           70,802              1,821,710           
2006                8                   1,636,922           63,942              1,700,864           
2006                9                   1,451,720           61,136              1,512,856           
2006                10                  1,626,043           64,156              1,690,199           
2006                11                  1,612,901           72,617              1,685,518           
2006                12                  1,589,413           79,576              1,668,989           
2006                TOTAL               19,692,416          881,513             20,573,929          
2007                1                   1,555,176           78,248              1,633,424           
2007                2                   1,491,938           73,939              1,565,877           
2007                3                   1,841,829           88,182              1,930,011           
2007                4                   1,757,658           78,970              1,836,628           
2007                5                   1,771,354           73,876              1,845,230           
2007                6                   1,761,130           73,150              1,834,280           
2007                7                   1,762,185           66,549              1,828,734           
2007                8                   1,719,642           67,303              1,786,945           
2007                9                   1,471,415           51,029              1,522,444           
2007                10                  1,631,854           63,415              1,695,269           
2007                11                  1,568,942           73,192              1,642,134           
2007                12                  1,556,428           85,360              1,641,788           
2007                TOTAL               19,889,551          873,213             20,762,764          
2008                1                   1,496,976           84,557              1,581,533           
2008                2                   1,510,426           82,378              1,592,804           
2008                3                   1,797,630           95,966              1,893,596           
2008                4                   1,635,951           84,319              1,720,270           
2008                5                   1,651,737           80,056              1,731,793           
2008                6                   1,612,430           72,214              1,684,644           
2008                7                   1,617,757           67,800              1,685,557           
2008                8                   1,537,258           65,118              1,602,376           
2008                9                   1,339,124           49,657              1,388,781           
2008                10                  1,474,530           63,694              1,538,224           
2008                11                  1,374,518           75,937              1,450,455           
2008                12                  1,468,420           87,201              1,555,621           
2008                TOTAL               18,516,757          908,897             19,425,654          
2009                1                   1,367,938           92,537              1,460,475           
2009                2                   1,281,623           90,456              1,372,079           
2009                3                   1,630,602           102,671             1,733,273           
2009                4                   1,558,291           93,336              1,651,627           
2009                5                   1,519,156           64,538              1,583,694           
2009                6                   1,516,013           61,826              1,577,839           
2009                7                   1,564,584           63,699              1,628,283           
2009                8                   1,468,554           62,434              1,530,988           
2009                9                   1,328,572           49,753              1,378,325           
2009                10                  1,480,354           66,041              1,546,395           
2009                11                  1,423,575           79,007              1,502,582           
2009                12                  1,478,295           94,067              1,572,362           
2009                TOTAL               17,617,557          920,365             18,537,922          
2010                1                   1,393,772           96,049              1,489,821           
2010                2                   1,313,782           98,196              1,411,978           
2010                3                   1,655,223           109,100             1,764,323           
