Year                Month               DOM                 INTER               TOTAL               
2002                10                  909,253             81,977              991,230             
2002                11                  839,498             72,635              912,133             
2002                12                  1,019,427           80,698              1,100,125           
2002                TOTAL               11,865,067          996,827             12,861,894          
2003                1                   815,035             87,499              902,534             
2003                2                   770,904             78,106              849,010             
2003                3                   907,657             88,507              996,164             
2003                4                   915,442             79,954              995,396             
2003                5                   1,008,669           78,844              1,087,513           
2003                6                   1,158,996           90,835              1,249,831           
2003                7                   1,321,687           108,035             1,429,722           
2003                8                   1,295,164           106,782             1,401,946           
2003                9                   966,509             93,495              1,060,004           
2003                10                  937,958             87,316              1,025,274           
2003                11                  902,963             81,748              984,711             
2003                12                  1,017,772           88,104              1,105,876           
2003                TOTAL               12,018,756          1,069,225           13,087,981          
2004                1                   825,461             90,262              915,723             
2004                2                   836,972             89,969              926,941             
2004                3                   1,017,349           101,106             1,118,455           
2004                4                   1,014,153           94,129              1,108,282           
2004                5                   1,082,966           93,495              1,176,461           
2004                6                   1,251,964           92,560              1,344,524           
2004                7                   1,399,740           105,492             1,505,232           
2004                8                   1,374,309           105,664             1,479,973           
2004                9                   1,078,756           95,211              1,173,967           
2004                10                  1,010,065           86,139              1,096,204           
2004                11                  984,849             79,016              1,063,865           
2004                12                  1,064,093           88,116              1,152,209           
2004                TOTAL               12,940,677          1,121,159           14,061,836          
2005                1                   885,057             92,134              977,191             
2005                2                   837,238             83,253              920,491             
2005                3                   1,041,908           102,611             1,144,519           
2005                4                   1,028,719           95,932              1,124,651           
2005                5                   1,125,501           92,309              1,217,810           
2005                6                   1,253,857           93,020              1,346,877           
2005                7                   1,407,266           103,429             1,510,695           
2005                8                   1,374,338           100,881             1,475,219           
2005                9                   1,117,288           95,169              1,212,457           
2005                10                  1,036,186           89,370              1,125,556           
2005                11                  1,015,428           83,181              1,098,609           
2005                12                  1,073,429           90,508              1,163,937           
2005                TOTAL               13,196,215          1,121,797           14,318,012          
2006                1                   913,160             96,117              1,009,277           
2006                2                   881,513             88,687              970,200             
2006                3                   1,060,664           100,990             1,161,654           
2006                4                   1,079,064           97,680              1,176,744           
2006                5                   1,190,843           93,783              1,284,626           
