Year                Month               DOM                 INTER               TOTAL               
2002                10                  916,207             83,724              999,931             
2002                11                  854,178             76,350              930,528             
2002                12                  1,027,647           83,919              1,111,566           
2002                TOTAL               11,878,842          990,414             12,869,256          
2003                1                   810,326             79,184              889,510             
2003                2                   774,837             77,349              852,186             
2003                3                   904,072             88,487              992,559             
2003                4                   910,822             74,833              985,655             
2003                5                   992,129             78,980              1,071,109           
2003                6                   1,154,312           92,753              1,247,065           
2003                7                   1,284,843           103,301             1,388,144           
2003                8                   1,314,408           106,050             1,420,458           
2003                9                   987,492             89,984              1,077,476           
2003                10                  948,986             86,467              1,035,453           
2003                11                  908,366             82,613              990,979             
2003                12                  1,021,628           91,416              1,113,044           
2003                TOTAL               12,012,221          1,051,417           13,063,638          
2004                1                   826,236             84,982              911,218             
2004                2                   830,863             89,017              919,880             
2004                3                   1,019,667           102,698             1,122,365           
2004                4                   1,020,371           92,040              1,112,411           
2004                5                   1,044,235           96,179              1,140,414           
2004                6                   1,255,642           98,395              1,354,037           
2004                7                   1,358,887           100,666             1,459,553           
2004                8                   1,407,725           101,737             1,509,462           
2004                9                   1,098,903           92,930              1,191,833           
2004                10                  1,011,453           84,884              1,096,337           
2004                11                  991,698             79,845              1,071,543           
2004                12                  1,065,771           90,641              1,156,412           
2004                TOTAL               12,931,451          1,114,014           14,045,465          
2005                1                   888,108             89,208              977,316             
2005                2                   845,074             85,494              930,568             
2005                3                   1,040,846           101,378             1,142,224           
2005                4                   1,026,813           91,283              1,118,096           
2005                5                   1,090,781           93,575              1,184,356           
2005                6                   1,265,479           98,135              1,363,614           
2005                7                   1,373,576           99,501              1,473,077           
2005                8                   1,401,359           95,724              1,497,083           
2005                9                   1,137,642           93,296              1,230,938           
2005                10                  1,039,344           90,029              1,129,373           
2005                11                  1,011,614           84,067              1,095,681           
2005                12                  1,072,835           91,307              1,164,142           
2005                TOTAL               13,193,471          1,112,997           14,306,468          
2006                1                   917,131             92,132              1,009,263           
2006                2                   886,381             86,956              973,337             
2006                3                   1,075,128           103,820             1,178,948           
2006                4                   1,066,372           90,413              1,156,785           
2006                5                   1,147,223           94,047              1,241,270           
2006                6                   1,323,192           80,607              1,403,799           
2006                7                   1,389,439           95,897              1,485,336           
2006                8                   1,412,110           103,903             1,516,013           
2006                9                   1,144,537           108,207             1,252,744           
2006                10                  1,067,961           92,155              1,160,116           
2006                11                  1,034,109           86,368              1,120,477           
2006                12                  1,088,164           94,687              1,182,851           
2006                TOTAL               13,551,747          1,129,192           14,680,939          
2007                1                   923,729             92,230              1,015,959           
2007                2                   883,775             88,811              972,586             
2007                3                   1,100,412           105,639             1,206,051           
2007                4                   1,097,420           93,045              1,190,465           
2007                5                   1,208,808           104,174             1,312,982           
2007                6                   1,351,479           109,406             1,460,885           
2007                7                   1,450,863           115,422             1,566,285           
2007                8                   1,486,319           122,400             1,608,719           
2007                9                   1,201,184           110,649             1,311,833           
2007                10                  1,150,933           110,559             1,261,492           
2007                11                  1,113,100           104,855             1,217,955           
2007                12                  1,155,161           115,384             1,270,545           
2007                TOTAL               14,123,183          1,272,574           15,395,757          
2008                1                   996,359             116,686             1,113,045           
2008                2                   996,689             111,438             1,108,127           
2008                3                   1,187,164           132,110             1,319,274           
2008                4                   1,112,424           111,312             1,223,736           
2008                5                   1,243,599           118,037             1,361,636           
2008                6                   1,399,182           127,815             1,526,997           
2008                7                   1,479,950           127,112             1,607,062           
2008                8                   1,516,999           135,354             1,652,353           
2008                9                   1,203,441           118,463             1,321,904           
2008                10                  1,141,156           105,940             1,247,096           
2008                11                  1,022,753           100,482             1,123,235           
2008                12                  1,103,995           110,843             1,214,838           
2008                TOTAL               14,403,711          1,415,592           15,819,303          
2009                1                   930,933             103,206             1,034,139           
2009                2                   908,563             95,078              1,003,641           
2009                3                   1,139,130           114,341             1,253,471           
2009                4                   1,068,228           101,499             1,169,727           
2009                5                   1,183,243           104,011             1,287,254           
2009                6                   1,341,432           109,427             1,450,859           
2009                7                   1,444,320           118,424             1,562,744           
2009                8                   1,453,497           124,966             1,578,463           
2009                9                   1,201,569           101,189             1,302,758           
2009                10                  1,130,489           97,076              1,227,565           
2009                11                  1,036,456           95,300              1,131,756           
2009                12                  1,128,739           112,126             1,240,865           
2009                TOTAL               13,966,599          1,276,643           15,243,242          
2010                1                   954,905             110,845             1,065,750           
2010                2                   895,211             97,506              992,717             
2010                3                   1,105,311           112,932             1,218,243           
2010                4                   1,047,501           100,703             1,148,204           
2010                5                   1,142,114           112,728             1,254,842           
2010                6                   1,333,245           124,937             1,458,182           
2010                7                   1,444,478           124,206             1,568,684           
2010                8                   1,456,885           126,893             1,583,778           
2010                9                   1,217,637           120,085             1,337,722           
2010                10                  1,149,889           115,713             1,265,602           
2010                11                  1,092,604           101,096             1,193,700           
2010                12                  1,167,287           113,377             1,280,664           
2010                TOTAL               14,007,067          1,361,021           15,368,088          
2011                1                   990,835             110,663             1,101,498           
2011                2                   928,579             99,817              1,028,396           
2011                3                   1,174,099           119,347             1,293,446           
2011                4                   1,100,898           112,657             1,213,555           
2011                5                   1,208,753           123,831             1,332,584           
2011                6                   1,375,375           131,417             1,506,792           
2011                7                   1,472,834           135,808             1,608,642           
2011                8                   1,500,128           147,424             1,647,552           
2011                9                   1,259,634           124,712             1,384,346           
2011                10                  1,153,751           119,831             1,273,582           
2011                11                  1,129,912           101,699             1,231,611           
2011                12                  1,194,183           114,731             1,308,914           
2011                TOTAL               14,488,981          1,441,937           15,930,918          
2012                1                   982,707             107,613             1,090,320           
2012                2                   983,699             99,524              1,083,223           
2012                3                   1,180,559           130,885             1,311,444           
2012                4                   1,126,168           116,396             1,242,564           
2012                5                   1,203,543           126,767             1,330,310           
2012                6                   1,388,964           142,994             1,531,958           
2012                7                   1,487,415           141,961             1,629,376           
2012                8                   1,500,333           161,832             1,662,165           
2012                9                   1,236,922           139,342             1,376,264           
2012                10                  1,155,693           133,407             1,289,100           
2012                11                  1,121,010           117,166             1,238,176           
2012                12                  1,170,707           128,938             1,299,645           
2012                TOTAL               14,537,720          1,546,825           16,084,545          
2013                1                   1,024,073           121,127             1,145,200           
2013                2                   983,458             111,996             1,095,454           
