Year                Month               DOM                 INTER               TOTAL               
2002                10                  915,258             271,050             1,186,308           
2002                11                  808,915             244,103             1,053,018           
2002                12                  952,712             277,752             1,230,464           
2002                TOTAL               10,923,562          3,500,777           14,424,339          
2003                1                   802,091             299,356             1,101,447           
2003                2                   703,081             227,825             930,906             
2003                3                   853,527             253,478             1,107,005           
2003                4                   831,852             216,994             1,048,846           
2003                5                   890,117             216,165             1,106,282           
2003                6                   988,522             255,699             1,244,221           
2003                7                   1,112,110           321,903             1,434,013           
2003                8                   1,111,035           350,025             1,461,060           
2003                9                   857,166             282,786             1,139,952           
2003                10                  931,740             270,952             1,202,692           
2003                11                  871,973             260,857             1,132,830           
2003                12                  940,344             277,830             1,218,174           
2003                TOTAL               10,893,558          3,233,870           14,127,428          
2004                1                   819,040             300,972             1,120,012           
2004                2                   792,272             250,034             1,042,306           
2004                3                   958,391             283,538             1,241,929           
2004                4                   982,550             298,678             1,281,228           
2004                5                   1,027,211           297,885             1,325,096           
2004                6                   1,123,109           321,178             1,444,287           
2004                7                   1,198,856           371,877             1,570,733           
2004                8                   1,196,810           371,235             1,568,045           
2004                9                   976,672             300,903             1,277,575           
2004                10                  1,042,514           289,403             1,331,917           
2004                11                  931,962             261,657             1,193,619           
2004                12                  955,373             284,765             1,240,138           
2004                TOTAL               12,004,760          3,632,125           15,636,885          
2005                1                   871,445             317,561             1,189,006           
2005                2                   800,704             260,060             1,060,764           
2005                3                   974,995             321,160             1,296,155           
2005                4                   958,369             326,695             1,285,064           
2005                5                   1,054,551           327,055             1,381,606           
2005                6                   1,129,472           349,823             1,479,295           
2005                7                   1,207,043           397,027             1,604,070           
2005                8                   1,182,514           392,245             1,574,759           
2005                9                   999,319             318,803             1,318,122           
2005                10                  1,038,007           310,003             1,348,010           
2005                11                  977,261             289,549             1,266,810           
2005                12                  971,590             303,069             1,274,659           
2005                TOTAL               12,165,270          3,913,050           16,078,320          
2006                1                   887,571             332,453             1,220,024           
2006                2                   813,007             270,795             1,083,802           
2006                3                   995,154             312,259             1,307,413           
2006                4                   1,016,920           348,564             1,365,484           
2006                5                   1,033,893           339,122             1,373,015           
2006                6                   1,101,903           363,160             1,465,063           
2006                7                   1,205,469           416,330             1,621,799           
2006                8                   1,166,267           406,086             1,572,353           
2006                9                   981,906             348,127             1,330,033           
2006                10                  1,041,888           322,703             1,364,591           
2006                11                  978,617             311,543             1,290,160           
2006                12                  960,298             323,011             1,283,309           
2006                TOTAL               12,182,893          4,094,153           16,277,046          
2007                1                   904,397             348,444             1,252,841           
2007                2                   832,595             291,040             1,123,635           
2007                3                   1,025,582           346,685             1,372,267           
2007                4                   1,046,859           351,836             1,398,695           
2007                5                   1,124,916           359,526             1,484,442           
2007                6                   1,187,864           375,593             1,563,457           
2007                7                   1,244,764           432,683             1,677,447           
2007                8                   1,276,949           430,009             1,706,958           
2007                9                   1,085,014           362,882             1,447,896           
2007                10                  1,164,174           347,790             1,511,964           
2007                11                  1,085,541           325,779             1,411,320           
2007                12                  1,038,196           338,438             1,376,634           
2007                TOTAL               13,016,851          4,310,705           17,327,556          
2008                1                   962,386             353,048             1,315,434           
2008                2                   944,176             302,845             1,247,021           
2008                3                   1,140,842           352,416             1,493,258           
2008                4                   1,126,439           355,167             1,481,606           
2008                5                   1,234,907           357,656             1,592,563           
2008                6                   1,304,384           380,237             1,684,621           
2008                7                   1,378,395           421,772             1,800,167           
2008                8                   1,363,829           424,262             1,788,091           
2008                9                   1,137,588           342,722             1,480,310           
2008                10                  1,202,809           321,581             1,524,390           
2008                11                  1,042,178           284,806             1,326,984           
2008                12                  1,110,374           315,678             1,426,052           
2008                TOTAL               13,948,307          4,212,190           18,160,497          
2009                1                   1,001,408           332,118             1,333,526           
2009                2                   917,021             251,765             1,168,786           
2009                3                   1,134,109           310,557             1,444,666           
2009                4                   1,161,467           334,890             1,496,357           
2009                5                   1,242,354           315,520             1,557,874           
2009                6                   1,319,856           344,007             1,663,863           
2009                7                   1,421,545           409,872             1,831,417           
2009                8                   1,417,386           426,922             1,844,308           
2009                9                   1,213,157           345,198             1,558,355           
2009                10                  1,275,356           317,179             1,592,535           
2009                11                  1,175,224           272,715             1,447,939           
2009                12                  1,189,872           305,012             1,494,884           
2009                TOTAL               14,468,755          3,965,755           18,434,510          
2010                1                   1,083,222           323,806             1,407,028           
2010                2                   981,061             266,180             1,247,241           
2010                3                   1,204,138           325,269             1,529,407           
2010                4                   1,209,979           333,376             1,543,355           
2010                5                   1,291,498           364,597             1,656,095           
2010                6                   1,346,441           391,721             1,738,162           
2010                7                   1,422,234           454,959             1,877,193           
2010                8                   1,440,780           440,896             1,881,676           
2010                9                   1,259,717           376,866             1,636,583           
2010                10                  1,348,645           358,435             1,707,080           
2010                11                  1,244,291           314,524             1,558,815           
2010                12                  1,220,649           325,940             1,546,589           
2010                TOTAL               15,052,655          4,276,569           19,329,224          
2011                1                   1,113,918           340,397             1,454,315           
2011                2                   1,019,668           278,693             1,298,361           
2011                3                   1,209,510           333,998             1,543,508           
2011                4                   1,236,473           348,624             1,585,097           
2011                5                   1,361,689           382,965             1,744,654           
2011                6                   1,426,934           393,007             1,819,941           
2011                7                   1,516,356           461,566             1,977,922           
2011                8                   1,502,162           453,706             1,955,868           
2011                9                   1,349,201           380,324             1,729,525           
2011                10                  1,384,132           352,550             1,736,682           
2011                11                  1,302,178           304,557             1,606,735           
2011                12                  1,306,875           329,651             1,636,526           
2011                TOTAL               15,729,096          4,360,038           20,089,134          
2012                1                   1,220,587           354,698             1,575,285           
2012                2                   1,157,825           293,526             1,451,351           
2012                3                   1,325,777           342,813             1,668,590           
2012                4                   1,359,162           374,354             1,733,516           
2012                5                   1,426,922           408,452             1,835,374           
2012                6                   1,515,328           434,152             1,949,480           
2012                7                   1,613,844           482,109             2,095,953           
2012                8                   1,639,659           473,750             2,113,409           
2012                9                   1,394,367           412,068             1,806,435           
2012                10                  1,454,407           368,707             1,823,114           
2012                11                  1,334,680           324,656             1,659,336           
2012                12                  1,291,882           340,931             1,632,813           
2012                TOTAL               16,734,440          4,610,216           21,344,656          
