Year                Month               DOM                 INTER               TOTAL               
2002                10                  915,470             286,708             1,202,178           
2002                11                  831,029             258,839             1,089,868           
2002                12                  966,707             297,720             1,264,427           
2002                TOTAL               10,915,431          3,462,501           14,377,932          
2003                1                   757,505             266,743             1,024,248           
2003                2                   709,874             221,850             931,724             
2003                3                   860,106             244,025             1,104,131           
2003                4                   843,806             193,945             1,037,751           
2003                5                   885,800             219,026             1,104,826           
2003                6                   1,015,994           263,641             1,279,635           
2003                7                   1,087,004           307,228             1,394,232           
2003                8                   1,098,104           332,106             1,430,210           
2003                9                   849,512             281,325             1,130,837           
2003                10                  924,918             295,392             1,220,310           
2003                11                  888,193             272,276             1,160,469           
2003                12                  953,534             300,882             1,254,416           
2003                TOTAL               10,874,350          3,198,439           14,072,789          
2004                1                   785,999             277,255             1,063,254           
2004                2                   784,474             240,901             1,025,375           
2004                3                   957,180             281,865             1,239,045           
2004                4                   989,400             279,736             1,269,136           
2004                5                   1,016,174           321,068             1,337,242           
2004                6                   1,142,625           345,180             1,487,805           
2004                7                   1,188,024           344,149             1,532,173           
2004                8                   1,172,231           339,499             1,511,730           
2004                9                   977,646             304,304             1,281,950           
2004                10                  1,041,457           302,941             1,344,398           
2004                11                  940,864             271,627             1,212,491           
2004                12                  985,818             306,488             1,292,306           
2004                TOTAL               11,981,892          3,615,013           15,596,905          
2005                1                   837,042             293,851             1,130,893           
2005                2                   794,207             255,313             1,049,520           
2005                3                   1,003,694           316,683             1,320,377           
2005                4                   952,107             302,978             1,255,085           
2005                5                   1,043,063           348,832             1,391,895           
2005                6                   1,163,093           374,962             1,538,055           
2005                7                   1,185,206           368,143             1,553,349           
2005                8                   1,164,779           358,053             1,522,832           
2005                9                   999,943             321,931             1,321,874           
2005                10                  1,038,618           325,783             1,364,401           
2005                11                  990,079             292,861             1,282,940           
2005                12                  1,000,432           331,351             1,331,783           
2005                TOTAL               12,172,263          3,890,741           16,063,004          
2006                1                   850,818             304,918             1,155,736           
2006                2                   811,025             265,481             1,076,506           
2006                3                   996,955             324,950             1,321,905           
2006                4                   1,024,419           326,778             1,351,197           
2006                5                   1,024,659           358,079             1,382,738           
2006                6                   1,151,932           391,396             1,543,328           
2006                7                   1,176,957           377,965             1,554,922           
2006                8                   1,143,716           366,116             1,509,832           
2006                9                   980,847             348,996             1,329,843           
2006                10                  1,036,956           342,534             1,379,490           
2006                11                  984,842             314,159             1,299,001           
2006                12                  997,583             351,423             1,349,006           
2006                TOTAL               12,180,709          4,072,795           16,253,504          
2007                1                   857,992             320,017             1,178,009           
2007                2                   827,395             289,080             1,116,475           
2007                3                   1,034,809           343,624             1,378,433           
2007                4                   1,059,006           324,524             1,383,530           
2007                5                   1,108,669           377,363             1,486,032           
2007                6                   1,219,406           399,275             1,618,681           
2007                7                   1,223,040           401,009             1,624,049           
2007                8                   1,266,351           388,669             1,655,020           
2007                9                   1,088,715           352,446             1,441,161           
2007                10                  1,158,530           363,761             1,522,291           
2007                11                  1,097,266           328,594             1,425,860           
2007                12                  1,079,169           361,795             1,440,964           
2007                TOTAL               13,020,348          4,250,157           17,270,505          
2008                1                   916,889             313,904             1,230,793           
2008                2                   944,624             303,385             1,248,009           
2008                3                   1,151,845           346,017             1,497,862           
2008                4                   1,131,191           321,229             1,452,420           
2008                5                   1,225,800           377,112             1,602,912           
2008                6                   1,325,666           423,091             1,748,757           
2008                7                   1,356,716           391,942             1,748,658           
2008                8                   1,367,465           390,341             1,757,806           
2008                9                   1,138,972           336,463             1,475,435           
2008                10                  1,199,858           347,808             1,547,666           
2008                11                  1,071,915           297,733             1,369,648           
2008                12                  1,128,348           339,137             1,467,485           
2008                TOTAL               13,959,289          4,188,162           18,147,451          
2009                1                   967,778             302,654             1,270,432           
2009                2                   912,444             253,504             1,165,948           
2009                3                   1,139,042           302,707             1,441,749           
2009                4                   1,168,353           316,997             1,485,350           
2009                5                   1,243,222           332,944             1,576,166           
